screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,recommended_action,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision
PUBMED_0010,29040119,Prospective Clinical Trial of Corneal Reconstruction With Biomaterial-Free Cultured Oral Mucosal Epithelial Cell Sheets.,"PURPOSE: To investigate the efficacy and safety of transplantation with biomaterial-free cultured oral mucosal epithelial cell sheets (COMECs) for ocular reconstruction in subjects with total limbal stem cell deficiency. METHODS: A prospective clinical trial (NCT02149732) was conducted in 8 subjects with total limbal stem cell deficiency after approval from the institutional review board of Seoul National University Hospital (H-0707-043-213) and the Ministry of Food and Drug Safety of Korea. COMECs were prepared in a culture system without the use of any temperature-sensitive polymers or carriers. The COMECs were transplanted without suture fixation. Four subjects underwent penetrating keratoplasty after stabilization of the COMEC transplant. Stable epithelialization, changes in visual acuity, and postoperative complications were evaluated for 6 months. Corneal cytokeratins (K) of 4 subjects who underwent penetrating keratoplasty were stained with an immunofluorescent agent. RESULTS: The ocular surface was successfully reconstructed in 6 eyes. Complete stable epithelialization was achieved within a mean of 53.6 days. Visual improvement (≥2 lines) was achieved in 62.5% of the eyes. K12 (corneal phenotype), K4, and K13 (mucosal phenotype) were well expressed in grafts after keratoplasty, whereas K1, K8, and K19 were barely expressed. No ocular infections, local tumor formation, or remarkable systemic complications were observed. Ocular reconstruction using COMECs failed in 2 eyes, which had full symblepharon in 4 quadrants. CONCLUSIONS: Transplanting biomaterial-free COMECs seems to be an efficient and safe procedure to reconstruct the ocular surface in patients who are completely limbal stem cell deficient without a full symblepharon.",2018,Cornea,10.1097/ICO.0000000000001409,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,carrier; sheet; construct; limbal; limbal stem; ocular surface; k12; rat; transplantation; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,10,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0099,30279555,Comparative study of substrate free and amniotic membrane scaffolds for cultivation of limbal epithelial sheet.,"Transplantation of cultivated limbal epithelial transplantation has been proven to restore the corneal surface in limbal stem cell deficiency (LSCD). Here we comparatively investigated the optimized conditions and the efficiency of limbal epithelial sheet growth in three media conditions as well as with substrate free (transwell), human amniotic membrane (HAM) sutured onto transwell inserts (HAMTW), and HAM slide scaffold (HAMS). Outcomes evaluated were outgrowth sheet size from limbal explants, expression of stem/progenitor cell markers p63α, ABCG2 and CK15, and colony formation efficiency (CFE). Additionally, limbal epithelial sheets on HAMS were transplanted into corneas of LSCD rabbit models. Limbal epithelial sheets with 5% human AB serum showed the greatest increase in ABCG2 efflux activity (JC1(low)), p63α expression, and CFE compared in both conditions without HAM and with HAM, respectively. The outgrowth sheet size, cell yield, and Ki67 expression were increased in limbal epithelial sheets on HAMS compared to transwell and HAMTW. ABCG2 efflux activity, p63α and CK15 expressions, and CFE were also increased in limbal epithelial sheets on HAMS as well. In corneas of transplanted rabbit LSCD models, p63α expressions were noted in the basal layers and CK12 expressions were observed in superficial layers. Cultivation of limbal epithelial sheet on HAMS with xeno-free medium enhances the growth and stemness of limbal epithelial sheets.",2018,Scientific reports,10.1038/s41598-018-32914-0,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,scaffold; substrate; membrane; limbal; limbal stem; lsc; p63; k12; abcg2; rabbit; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,10,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0359,33210832,Transplantation of human corneal limbal epithelial cell sheet harvested on synthesized carboxymethyl cellulose and dopamine in a limbal stem cell deficiency.,"This study aimed to evaluate the efficacy and safety of transplantation with human corneal limbal epithelial (HCLE) cell sheets cultured on carboxymethyl cellulose (CMC)-dopamine (DA)-coated substrates and harvested via enzymatic digestion of CMC with cellulase in a rabbit animal model of limbal stem cell deficiency (LSCD). Synthesized CMC-DA was pretreated onto the surface of culture plates. Then, HCLE cells were cultured on precoated CMC-DA and HCLE cell sheets were harvested using cellulase-containing cell culture medium. HCLE cell sheets were evaluated using a live/dead assay, histological examination, and immunofluorescence staining. For in vivo assessment, HCLE cell sheets were transplanted in a rabbit model of LSCD for 2 weeks to determine the effectiveness of the repair. Primary culture of HCLE cells stained positively for p63, cytokeratin (CK)15, and CK12. HCLE cell sheets were generated with a well-preserved morphology and transparency ranging in size from 15 to 19 mm after cellulase-assisted cell sheet generation. HCLE cell sheets uniformly stained positively for human mitochondria, p63, CK15, CK12, CK3/2p, and zonula occludens (ZO)-1. HCLE cell sheet transplantation in a rabbit model of LSCD improved the corneal opacity and neovascularization scores. Transplanted HCLE cell sheets stained positively for p63 and CK12. Transplantation of HCLE cell sheets harvested on CMC-DA coating combined with cellulase is a safe and efficient procedure for corneal epithelial regeneration in a rabbit model of LSCD. This system could enable a promising strategy to regenerate corneal epithelium by transplantation in ocular surface disorders.",2021,Journal of tissue engineering and regenerative medicine,10.1002/term.3159,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,substrate; sheet; corneal epithelial; corneal epithelium; limbal; p63; k3; k12; rabbit; rat; in vivo,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,10,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0447,34302219,cG-CAOMECS-clinical-grade cultured autologous oral mucosal epithelial cell sheet.,"The present study reports the feasibility and successful production of rabbit cG-CAOMECS, designed to reconstruct corneal epithelium of patients with bilateral limbal stem cell deficiency. To produce a safe, chemically defined and FDA compliant cG-CAOMECS, oral mucosal epithelial cells were isolated from a biopsy of rabbit buccal tissue and seeded on a cGMP-certified cell culture surface coated with GMP-grade extracellular matrix. A newly designed clinical-grade medium (KaFa™ medium) was utilized to carry out cell expansion. Detachment and harvesting of the produced cell sheet was accomplished using collagenase treatment. Live cell imaging and morphological analysis techniques were used to examine cell growth. Cells attached onto the surface and self-assembled into colony-forming units (CFUs). Microscopic examination showed that CFUs formed during the first 5 days, and basal monolayer cell sheet formed in less than 10 days. Cells expanded to form a multilayered epithelial cell sheet that was harvested after 17-19 days in culture. Immunostaining and Western blot analyses showed that deltaNp63 was expressed in the basal cells and K3/K12 was expressed in the apical cells, indicating the presence of corneal epithelial-like cells in the produced cell sheet. Adhesion molecules, E-cadherin, beta-catenin, and Cnx43 were also expressed and exhibited the epithelial integrity of the cell sheet. The expression of integrin-beta1 and beta4 confirmed that the collagenase treatment used for detaching and harvesting the cell sheet did not have adverse effects. Our results showed that the utilization of clinical-grade and FDA-approved reagents successfully supported the production of cG-CAMECS.",2021,Cell and tissue research,10.1007/s00441-021-03507-7,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,sheet; construct; collagen; corneal epithelial; corneal epithelium; limbal; p63; k3; k12; rabbit; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,10,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0799,39050175,The effect of cultured autologous oral mucosal epithelial cells on ocular surface reconstruction.,"INTRODUCTION: Oral epithelial cells were recently shown to be able to differentiate into corneal epithelium, and the efficacy of cultured autologous oral mucosal epithelial cells (CAOMEC) has been suggested by the presence of epithelium replacement. Therefore, the aim of this study was to evaluate the treatment outcome in limbal stem cell deficiency (LSCD) by adding CAOMEC to regular amniotic membrane (AM) treatment. MATERIAL AND METHODS: Eyes with LSCD were randomized to two groups to undergo either autologous oral mucosal epithelial cell sheet (CAOMECS) combined with AM transplantation (A group) or AM transplantation alone (B group). Clinical outcome measures were corneal epithelium healing, best corrected visual acuity, symblepharon, corneal transparency, corneal neovascularization and ocular surface inflammation. RESULTS: The normal corneal epithelialization rate in group A (73.33%) was higher than that in group B (35.48%), and the average healing time was shorter (3.45 ±2.12 weeks vs. 4.64 ±1.63 weeks). The symblepharon in the above two groups was improved in the first 3 months after surgery, but after 6 months, part of the B group had recurrence. In improving corneal transparency, group A has obvious advantages. Corneal neovascularization (CNV) was improved to some extent in the first 3 months after surgery, but group A (1.47 ±0.64) was better than group B (1.94 ±0.85) after 6 months. Both groups can improve the inflammatory state to some extent. CONCLUSIONS: The transplantation of CAOMECS offers a viable and safe alternative in the reconstruction of a stable ocular surface. The effect is better than that of traditional AM transplantation, mainly in promoting corneal epithelialization, improving ocular surface structure, and reducing fiber and vascular infiltration.",2024,Archives of medical science : AMS,10.5114/aoms/115576,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,membrane; sheet; construct; corneal epithelial; corneal epithelium; limbal; transparency; rat; transplantation; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,10,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0843,39558722,Proliferation and differentiation of Wharton's jelly-derived mesenchymal stem cells on prgf-treated hydrogel scaffold.,"BACKGROUND: To address the limitations of Cultivated Limbal Epithelial Transplantation (CLET) and the use of amniotic membrane (AM) in treating Limbal Stem Cell Deficiency (LSCD), we aimed to develop a Collagen/Silk Fibroin (Co/SF) scaffold enriched with Platelet-Rich Growth Factor (PRGF) to support the proliferation, maintenance, and differentiation of Wharton's jelly-derived mesenchymal stem cells (WJMSCs) into corneal epithelial cells (CECs). METHOD: Scaffolds loaded with PRGF were evaluated through release studies, cytotoxicity assays, and cell differentiation. The proliferation and differentiation of WJMSCs and Limbal Epithelial Stem Cells (LESCs) were investigated using MTT assays, real-time PCR and immunostaining. RESULTS: The PRGF-loaded Co/SF scaffold significantly promoted the proliferation of both WJMSCs and LESCs in a concentration-dependent manner. Real-time PCR and immune staining revealed a significant increase in the expression of P63, ABCG2, and cytokeratin 3/12 markers in WJMSCs, a significant decrease in the expression of P63 and ABCG2, and a significant increase in the expression of cytokeratin 3/12 markers indicating successful differentiation into CECs. CONCLUSION: The WJMSC cultured on PRGF-enriched Co/SF scaffold demonstrates potential as a viable alternative to conventional CLET, offering a promising strategy for corneal tissue regeneration.",2024,Regenerative medicine,10.1080/17460751.2024.2427513,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; membrane; hydrogel; corneal epithelial; limbal; limbal stem; p63; abcg2; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,10,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0963,40777142,"Corneal surface reconstruction for the chemical injured eye by transplanting autologous cultivated limbal epithelial sheet ""Nepic(®)"".","BACKGROUND: ""Nepic(®)"" (Japan Tissue Engineering Co., Ltd., Gamagori, Japan) is an autologous cultivated limbal epithelial sheet, approved in 2020 in Japan for the reconstruction of the corneal surface in cases of limbal stem cell deficiency (LSCD). Because the surgical procedure known as cultivated limbal epithelial cell sheet transplantation (CLET) has only recently been introduced and the number of cases remains limited, accumulating clinical experience is essential to ensure the safety and success of this procedure. Herein, we report the clinical course of a patient with unilateral LSCD who underwent CLET for a corneal surface reconstruction using Nepic(®). CASE PRESENTATION: A 50-year-old man sustained bilateral eye injuries from mortar during construction work. The patient's right cornea exhibited LSCD. Initial treatment involved a 360° limbal transplantation with an allo-corneal graft at a university hospital. However, graft rejection occurred, and the corneal surface was subsequently covered by conjunctival tissue within 2 months. Because the patient's left cornea and conjunctiva appeared healthy, we performed CLET with Nepic(®) 3 years after the limbal transplantation. CONCLUSIONS: When using Nepic(®), it is essential to become accustomed to handling the cultivated epithelial sheet on the ring-shaped holder; however, cultivated corneal epithelium transplantation can also be performed without the carrier material, but rather as a sheet. Though the corneal surface appeared smooth and shiny at 7 months postoperatively, we seek to determine whether the epithelial cells on the patient's cornea are of corneal or conjunctival origin without resorting to invasive procedures, such as biopsy.",2025,Fujita medical journal,10.20407/fmj.2024-031,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",3,carrier; sheet; construct; corneal epithelium; limbal; limbal stem; rat; transplantation; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,9,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence,Top-tier core addition
PUBMED_0987,41068622,Limbal stem cell sheet bandage for short-term treatment of corneal regeneration.,"This study investigates a novel short-term treatment for Limbal Stem Cell Deficiency (LSCD) using a limbal stem cell (LSC) sheet bandage. The method utilizes polytetrafluoroethylene (PTFE) membranes to harvest and transplant LSC sheets for corneal surface regeneration. In cases where autologous tissue was not available, limbal biopsies obtained from patients' relatives were cultured to generate LSC sheets, which were subsequently transferred onto PTFE scaffolds using a bottom-up cell transfer technique. Eight patients with treatment-resistant, end-stage LSCD underwent the procedure and examined during a six-months follow-up. Pre-transplantation assessments confirmed the viability and marker expression of the LSCs. Immunocytochemistry and microscopy validated the structural integrity of the LSC sheets on PTFE, and toxicity assays indicated the scaffold's biocompatibility. Post-operative evaluations showed improvements or stabilization in visual acuity, along with a reduction in the use of lubricating eye drops during a 1-month period. No immediate severe complications were observed. Short-term outcomes were promising, showing corneal surface regeneration and improved patient satisfaction and quality of life. However, long-term success varied at the 6- month follow-up. This LSC sheet bandage acted as a cellular bandage, rapidly restoring the corneal surface and facilitating further therapeutic procedures. The technique may serve as a potential interim solution for patients ineligible for conventional corneal transplants. TRIAL REGISTRATION: The study was registered in the Iranian Registry of Clinical Trials (IRCT) on 2020-05-06 (approval number: IRCT20180724040574N1).",2025,BMC ophthalmology,10.1186/s12886-025-04417-w,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",3,scaffold; membrane; sheet; limbal; limbal stem; lsc; rat; transplantation; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,9,strong reconstruction/regeneration relevance; scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; translational or in vivo evidence,Top-tier core addition
PUBMED_0056,29691018,Carboxymethyl chitosan/gelatin/hyaluronic acid blended-membranes as epithelia transplanting scaffold for corneal wound healing.,"There is an unmet need for an optimal scaffold as cell transplantation carrier to induce corneal reconstruction. In this study, a blend membrane was prepared with carboxymethyl chitosan (CMCTS), gelatin, and hyaluronic acid. To investigate its cytocompatibility, primary rabbit corneal epithelial cells (CEpCs) were seeded on it and growth and proliferation were evaluated. The blend membrane was found to be transparent, biodegradable, and suitable for CEpCs attachment and proliferation, which could maintain the epithelial cell-like protein expression of CEpCs. The combination of CEpCs and CMCTS-blended membrane (CEpCs/CMCTS membrane) was used to treat alkali-induced corneal damage in rabbits and healing effects were evaluated by visual observation, slit lamp, hematoxylin-eosin and immunofluorescence staining. CEpCs/CMCTS membrane could improve corneal epithelial reconstruction significantly and restore cornea transparency and thickness. Hence, this combination treatment may serve as a rapid and effective way for corneal wound healing.",2018,Carbohydrate polymers,10.1016/j.carbpol.2018.03.033,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,scaffold; carrier; membrane; corneal epithelial; epithelial cell; wound healing; transparency; rabbit; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,8,strong reconstruction/regeneration relevance; scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
PUBMED_0120,30548137,An in situ hydrogel based on carboxymethyl chitosan and sodium alginate dialdehyde for corneal wound healing after alkali burn.,"There is currently no optimal scaffold for the transplantation of limbal stem cells (LSCs) to induce corneal reconstruction after corneal alkali burns. This study attempts to fabricate a novel in situ Alginate-Chitosan hydrogel (ACH) for LSCs transplantation. Sodium alginate dialdehyde (SAD), a biological crosslinker, was prepared by periodate-mediated sodium alginate oxidization. Carboxymethyl chitosan was rapidly crosslinked with SAD via Schiff's base formation between the available aldehyde and amino groups. The ACH is rapidly formed on the wound surface by self-crosslinking without adding any chemical crosslinking component. Gelation time, transmittance, microscopic structure, equilibrium swelling, cytotoxicity, histocompatibility and degradability of the hydrogel were all examined. Rabbit primary LSCs were encapsulated in the hydrogel and transplanted to alkali burn wounds in vivo. Cornea reconstruction was evaluated by visual observation, slit lamp, histological analysis, and immunofluorescence staining. Results showed that the in situ hydrogel was highly transparent, gelated quickly, biocompatible, and had low cytotoxicity. LSCs cultured in vitro expressed the stem marker p63 but lacked the differentiated epithelial markers cytokeratin 3 and 12. Furthermore, the hydrogel encapsulating LSCs could be formed quickly on the alkali burn wound of the cornea and was shown to significantly improve epithelial reconstruction. Taken together, treatment with this novel in situ hydrogel-mediated LSC transplantation system may serve as a rapid and effective method for corneal wound healing. © 2018 The Authors. Journal of Biomedical Materials Research Part A published by Wiley Periodicals, Inc. J Biomed Mater Res Part A: 107A: 742-754, 2019.",2019,Journal of biomedical materials research. Part A,10.1002/jbm.a.36589,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; hydrogel; construct; limbal; limbal stem; lsc; wound healing; p63; rabbit; rat; in vivo,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,8,strong reconstruction/regeneration relevance; scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Top-tier core addition
