screening_id,pmid,title,year,journal,doi,corneal_layer,strict_retrieval_score,strict_retrieval_reason,strict_final_status,full_text_status,pdf_available,source_checked,pdf_filename,retrieval_date,retrieval_notes,extraction_ready,reason_not_extraction_ready
PUBMED_0032,29413615,Functionalized silk fibroin film scaffold using β-Carotene for cornea endothelial cell regeneration.,2018,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2017.11.052,endothelium,20,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0075,29998891,Constructing a Novel Three-Dimensional Biomimetic Corneal Endothelium Graft by Culturing Corneal Endothelium Cells on Compressed Collagen Gels.,2018,Chinese medical journal,10.4103/0366-6999.235883,endothelium,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0157,31129253,Investigating the effect of chitosan/ polycaprolactone blends in differentiation of corneal endothelial cells and extracellular matrix compositions.,2019,Experimental eye research,10.1016/j.exer.2019.05.019,endothelium,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0304,32622067,Evaluation of reconstructed human corneal endothelium sheets made with porcine Descemet's membrane in vitro and in vivo.,2020,Experimental eye research,10.1016/j.exer.2020.108125,endothelium,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0379,33448808,"Ultrathin, Strong, and Cell-Adhesive Agarose-Based Membranes Engineered as Substrates for Corneal Endothelial Cells.",2019,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b00610,endothelium,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0588,36080636,Customizable Collagen Vitrigel Membranes and Preliminary Results in Corneal Engineering.,2022,Polymers,10.3390/polym14173556,endothelium,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0761,38486306,Bioprinting of human pluripotent stem cell derived corneal endothelial cells with hydrazone crosslinked hyaluronic acid bioink.,2024,Stem cell research & therapy,10.1186/s13287-024-03672-w,endothelium,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,Final core,not_checked,not_checked,,,,,not_checked,
PUBMED_0021,29281419,Electro-spun Membranes as Scaffolds for Human Corneal Endothelial Cells.,2018,Current eye research,10.1080/02713683.2017.1377258,endothelium,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0382,33463278,Fish-Scale Collagen Membrane Seeded with Corneal Endothelial Cells as Alternative Graft for Endothelial Keratoplasty Transplantation.,2020,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b00562,endothelium,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0421,33939123,Potential of a novel scaffold composed of human platelet lysate and fibrin for human corneal endothelial cells.,2022,Cell and tissue banking,10.1007/s10561-021-09931-x,endothelium,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
PUBMED_0537,35358736,Construction of tissue-engineered human corneal endothelium for corneal endothelial regeneration using a crosslinked amniotic membrane scaffold.,2022,Acta biomaterialia,10.1016/j.actbio.2022.03.039,endothelium,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,Added endothelial core from medium-priority screen,not_checked,not_checked,,,,,not_checked,
