screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,final_core_status,strict_final_status,endothelium_relevance_score,endothelium_relevance_terms,recommended_action,strict_endothelium_decision,strict_endothelium_reason,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision,refined_top_tier_decision,refined_top_tier_reason,strict_retrieval_score,strict_retrieval_reason,has_clinical,has_in_vivo,has_ex_vivo,has_material,has_benchmark,has_reconstruction,strict_retrieval_group
PUBMED_0034,29430874,Characterizing human decellularized crystalline lens capsules as a scaffold for corneal endothelial tissue engineering.,"The idea of transplanting a sheet of laboratory-grown corneal endothelium dates back to 1978; however, the ideal scaffold is still lacking. We hypothesized that human crystalline lens capsules (LCs) could qualify as a scaffold and aimed to characterize the properties of this material for endothelial tissue engineering. LCs were isolated from donor eyes, stored at -80 °C, and decellularized with water and trypsin-EDTA. The decellularization was investigated by nuclear staining and counting and the capsule thickness was determined by optical coherence tomography and compared with Descemet's membrane (DM). Transparency was examined by spectrometry, and collagenase degradation was performed to evaluate its resistance to degradation. Cell-scaffold interaction was assessed by measuring focal adhesions surface area on LC and plastic. Finally, primary corneal endothelial cells were grown on LCs to validate the phenotype. Trypsin-EDTA decellularized most effectively, removing 99% of cells. The mean LC thickness was 35.76 ± 0.43 μm, whereas DM measured 25.93 ± 0.26 μm (p < .0001). Light transmission was 90% for both LC and DM. On a collagenase challenge, LC and amniotic membrane were digested after 13 hr, whereas DM was digested after 17 hr. The surface area of focal adhesions for cells grown on coated LCs was at least double that compared with other conditions, whereas tight junctions, ion pumps, and hexagonal morphology were well maintained when endothelial cells were cultured on LCs. In conclusion, LCs demonstrate excellent scaffolding properties for tissue engineering and sustain the cell phenotype and can be considered a suitable substrate for ocular tissue engineering or as a template for future scaffolds.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2633,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,3,scaffold; substrate; membrane; corneal endothelial cell; endothelial cells; pump; hexagonal; transparency,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,10,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,no,yes,no,yes,yes,no,Priority 2 - retrieve after shortlist
PUBMED_0068,29853917,Fish Scale-Derived Scaffolds for Culturing Human Corneal Endothelial Cells.,"PURPOSE: To investigate the biocompatibility of fish scale-derived scaffolds (FSS) with primary human corneal endothelial cells (HCEnCs). METHODS: HCEnCs were isolated from 30 donor corneas in a donor-matched study and plated in precoated Lab-Tek slides (n = 15) and FSS (n = 15). Cell morphology, proliferation/migration, and glucose uptake were studied (n = 30). Hoechst, ethidium homodimer, and calcein AM (HEC) staining was performed to determine viability and toxicity (n = 6). The cell surface area was calculated based on calcein AM staining. HCEnCs were stained for ZO-1 (n = 6) to detect tight junctions and to measure cell morphology; Ki-67 (n = 6) to measure proliferating cells; and vinculin to quantify focal adhesions (n = 6). The formation of de novo extracellular matrix was analyzed using histology (n = 6). RESULTS: HCEnCs attach and grow faster on Lab-Tek slides compared to the undulating topography of the FSS. At day 11, HCEnCs on Lab-Tek slide grew 100% confluent, while FSS was only 65% confluent (p = 0.0883), with no significant difference in glucose uptake between the two (p = 0.5181) (2.2 μg/mL in Lab-Tek versus 2.05 μg/mL in FSS). HEC staining showed no toxicity. The surface area of the cells in Lab-Tek was 409.1 μm(2) compared to 452.2 μm(2) on FSS, which was not significant (p = 0.5325). ZO-1 showed the presence of tight junctions in both conditions; however, hexagonality was higher (74% in Lab-Tek versus 45% in FSS; p = 0.0006) with significantly less polymorphic cells on Lab-Tek slides (8% in Lab-Tek versus 16% in FSS; p = 0.0041). Proliferative cells were detected in both conditions (4.6% in Lab-Tek versus 4.2% in FSS; p = 0.5922). Vinculin expression was marginally higher in HCEnCs cultured on Lab-Tek (234 versus 199 focal adhesions; p = 0.0507). Histological analysis did not show the formation of a basement membrane. CONCLUSIONS: HCEnCs cultured on precoated FSS form a monolayer, displaying correct morphology, cytocompatibility, and absence of toxicity. FSS needs further modification in terms of structure and surface chemistry before considering it as a potential carrier for cultured HCEnCs.",2018,Stem cells international,10.1155/2018/8146834,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,3,carrier; scaffold; membrane; corneal endothelial cell; endothelial cells; monolayer; zo-1; hexagonal,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,10,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,no,yes,no,yes,yes,no,Priority 2 - retrieve after shortlist
PUBMED_1009,41218465,Matrix stiffness modulates YAP-mediated glycolysis and proliferation in human corneal endothelial cells.,"Human corneal endothelium (HCE) plays a vital role in preserving corneal transparency and thickness. However, a marked reduction in the cell density can result in functional decompensation, potentially leading to blindness. The scarcity of donor corneas has limited the development of clinical interventions for this condition, therefore, developing highly functional tissue-engineered HCE (TE-HCE) important. The construction of TE-HCE fundamentally relies on modulating the mechanical microenvironment of the scaffold, which is essential for promoting the optimal proliferation and metabolic activity of the seeded cells. In this study, we used polyacrylamide hydrogels with stiffnesses of 25, 50, and 100 kPa to simulate the mechanical properties of Descemet's membranes and explore the regulatory role of matrix stiffness in HCE cell metabolism and proliferation. An increased scaffold stiffness promoted the proliferation of HCE cells by enhancing the mechanical response of HCE cells, increasing the nuclear translocation of Yes-associated protein (YAP), and promoting the expression of downstream proliferation regulatory genes. Increasing the stiffness of the scaffold also enhanced the glycolysis level of HCE cells by promoting the expression of key glycolytic enzymes, thereby improving the viability and energy yield of HCE cells. Notably, the variations in scaffold stiffness could influence cell proliferation via the YAP pathway by modulating the glycolysis levels, potentially establishing the positive feedback of ""metabolic response-proliferation."" This study elucidates the regulatory mechanisms by which mechanical microenvironments influence cellular functions, and provides a theoretical foundation and technical support for the development of tissue-engineered products with precise mechanical properties.",2026,Biomaterials advances,10.1016/j.bioadv.2025.214594,C4_endothelium;D3_full_thickness_multilayer,2,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,10,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,no,yes,no,yes,yes,no,Priority 2 - retrieve after shortlist
PUBMED_0863,39768260,"Development of Biomimetic Substrates for Limbal Epithelial Stem Cells Using Collagen-Based Films, Hyaluronic Acid, Immortalized Cells, and Macromolecular Crowding.","Despite the promising potential of cell-based therapies developed using tissue engineering techniques to treat a wide range of diseases, including limbal stem cell deficiency (LSCD), which leads to corneal blindness, their commercialization remains constrained. This is primarily attributable to the limited cell sources, the use of non-standardizable, unscalable, and unsustainable techniques, and the extended manufacturing processes required to produce transplantable tissue-like surrogates. Herein, we present the first demonstration of the potential of a novel approach combining collagen films (CF), hyaluronic acid (HA), human telomerase-immortalized limbal epithelial stem cells (T-LESCs), and macromolecular crowding (MMC) to develop innovative biomimetic substrates for limbal epithelial stem cells (LESCs). The initial step involved the fabrication and characterization of CF and CF enriched with HA (CF-HA). Subsequently, T-LESCs were seeded on CF, CF-HA, and tissue culture plastic (TCP). Thereafter, the effect of these matrices on basic cellular function and tissue-specific extracellular matrix (ECM) deposition with or without MMC was evaluated. The viability and metabolic activity of cells cultured on CF, CF-HA, and TCP were found to be similar, while CF-HA induced the highest (p < 0.05) cell proliferation. It is notable that CF and HA induced cell growth, whereas MMC increased (p < 0.05) the deposition of collagen IV, fibronectin, and laminin in the T-LESC culture. The data highlight the potential of, in particular, immortalized cells and MMC for the development of biomimetic cell culture substrates, which could be utilized in ocular surface reconstruction following further in vitro, in vivo, and clinical validation of the approach.",2024,"Life (Basel, Switzerland)",10.3390/life14121552,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added epithelium/limbus core from medium-priority screen,,,Add to core candidate,,,3,substrate; film; construct; limbal; limbal stem; lsc; rat; in vivo; clinical,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,7,strong reconstruction/regeneration relevance; scaffold/carrier/material present; translational or in vivo evidence,Top-tier core addition,Keep top-tier core addition,"Retained as strong epithelial/limbal biomaterial, scaffold, carrier, hydrogel, or cell-sheet reconstruction evidence.",10,in vivo evidence; clear biomaterial/scaffold/carrier signal; reconstruction/regeneration relevance; layer-balancing priority,no,yes,no,yes,no,yes,Priority 2 - retrieve after shortlist
PUBMED_0232,31867140,Confocal and Histological Features After Poly(Ethylene Glycol) Diacrylate Corneal Inlay Implantation.,"PURPOSE: To evaluate the in vivo biocompatibility of photopolymerized poly(ethylene glycol) diacrylate (PEGDA) intrastromal inlays in rabbit corneas. METHODS: Sixty-three eyes of 42 New Zealand rabbits were included. Manual intrastromal pockets were dissected in 42 eyes. PEGDA inlays were obtained using a specifically designed photomask and were inserted in the intrastromal pocket of 21 eyes (inlay group); the remaining 21 right eyes did not receive any implant (pocket-only group). Twenty-one eyes with no intervention were used as controls. In vivo confocal microscopy (IVCM) was performed at every visit. After 2 months, rabbits were sacrificed and corneas removed for histological analysis. RESULTS: Corneas remained clear in all but two animals, and five cases of corneal neovascularization were seen (P = 0.2). Inlays remained stable without evidence of lateral or anterior migration, and no other complications were observed. No changes in anterior and posterior keratocyte density (P = 0.3 and P = 0.1, respectively) or endothelial cell density (P = 0.23) were observed between groups during the study time by IVCM. On pathology samples, thinning of the epithelium over the inlay area and epithelial hyperplasia over the edges were observed. A polygonal empty space with no evidence of PEGDA hydrogel within the midstroma was seen in the inlay group. Keratocytes were normal in shape and number in the vicinity of the PEGDA implant area. CONCLUSIONS: Photopolymerized PEGDA intrastromal inlays have shown relatively good safety and stability in rabbit corneas. Inlays were biostable in the corneal environment and remained transparent during follow up. TRANSLATIONAL RELEVANCE: The investigated PEGDA is promising for the development of biocompatible intrastromal implants.",2019,Translational vision science & technology,10.1167/tvst.8.6.39,B3_stroma;C4_endothelium,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,,,,,,,,,,,9,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,no,yes,no,yes,yes,no,Priority 2 - retrieve after shortlist
PUBMED_0255,32188843,Fiber reinforced GelMA hydrogel to induce the regeneration of corneal stroma.,"Regeneration of corneal stroma has always been a challenge due to its sophisticated structure and keratocyte-fibroblast transformation. In this study, we fabricate grid poly (ε-caprolactone)-poly (ethylene glycol) microfibrous scaffold and infuse the scaffold with gelatin methacrylate (GelMA) hydrogel to obtain a 3 D fiber hydrogel construct; the fiber spacing is adjusted to fabricate optimal construct that simulates the stromal structure with properties most similar to the native cornea. The topological structure (3 D fiber hydrogel, 3 D GelMA hydrogel, and 2 D culture dish) and chemical factors (serum, ascorbic acid, insulin, and β-FGF) are examined to study their effects on the differentiation of limbal stromal stem cells to keratocytes or fibroblasts and the phenotype maintenance, in vitro and in vivo tissue regeneration. The results demonstrate that fiber hydrogel and serum-free media synergize to provide an optimal environment for the maintenance of keratocyte phenotype and the regeneration of damaged corneal stroma.",2020,Nature communications,10.1038/s41467-020-14887-9,B3_stroma;D3_full_thickness_multilayer,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,9,in vivo evidence; clear biomaterial/scaffold/carrier signal; reconstruction/regeneration relevance,no,yes,no,yes,no,yes,Priority 2 - retrieve after shortlist
PUBMED_0408,33768381,"A novel human donor cornea preservation cocktail incorporating a thermo-reversible gelation polymer (TGP), enhancing the corneal endothelial cell density maintenance and explant culture of corneal limbal cells.","PURPOSE: McCarey-Kaufman's (MK) medium and Optisol-GS medium are the most commonly employed media for human donor corneal preservation. In this study, we evaluated the preservation efficacy of discarded human donor corneas using a Thermo-reversible gelation polymer (TGP) added to these two media. METHODS: Thirteen human corneal buttons collected from deceased donors, which were otherwise discarded due to low endothelial cell density (ECD) were used. They were stored in four groups: MK medium, MK medium with TGP, Optisol-GS and Optisol-GS with TGP at 4 °C for 96 h. Slit lamp examination and specular microscopy were performed. Corneal limbal tissues from these corneas were then cultured using explant methodology one with and the other without TGP scaffold, for 21 days. RESULTS: MK + TGP and Optisol-GS + TGP preserved corneas better than without TGP, which was observed by maintenance of ECD which was significantly higher in Optisol-GS + TGP than MK + TGP (p-value = 0.000478) and corneal thickness remaining the same for 96 h. Viable corneal epithelial cells could be grown from the corneas stored only in MK + TGP and Optisol-GS + TGP. During culture, the TGP scaffold helped maintain the native epithelial phenotype and progenitor/stem cell growth was confirmed by RT-PCR characterization. CONCLUSION: TGP reconstituted with MK and Optisol-GS media yields better preservation of human corneal buttons in terms of relatively higher ECD maintenance and better in vitro culture outcome of corneal limbal tissue. This method has the potential to become a standard donor corneal transportation-preservation methodology and it can also be extended to other tissue or organ transportation upon further validation.",2021,Biotechnology letters,10.1007/s10529-021-03116-y,A3_epithelium_limbus;C4_endothelium,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,9,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,no,yes,no,yes,yes,no,Priority 2 - retrieve after shortlist
PUBMED_0422,33955160,Characterization of Tunable Poly-ε-Lysine-Based Hydrogels for Corneal Tissue Engineering.,"A family of poly-ε-lysine hydrogels can be synthesized by crosslinking with bis-carboxylic acids using carbodiimide chemistry. In addition to creating hydrogels using a simple cast method, a fragmented method is used to introduce increased porosity within the hydrogel structure. Both methods have created tunable characteristics ranging in their mechanical properties, transparency, and water content, which is of interest to corneal tissue engineering and can be tailored to specific cellular needs and applications. With a worldwide shortage of cornea donor tissue available for transplant and limitations including rejection and potential infection, a synthetic material that can be used as a graft, or a partial thickness corneal replacement, would be an advantageous treatment method. These hydrogels can be tuned to have similar mechanical and transparency properties to the human cornea. They also support the attachment and growth of corneal epithelial cells and the integration of corneal stromal cells.",2021,Macromolecular bioscience,10.1002/mabi.202100036,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,9,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely,no,yes,no,yes,yes,no,Priority 2 - retrieve after shortlist
PUBMED_0433,34119551,The effect of biodegradable silk fibroin-based scaffolds containing glial cell line-derived neurotrophic factor (GDNF) on the corneal regeneration process.,"Corneal injury due to ocular trauma or infection is one of the most challenging vision impairing pathologies. The aim of the work was to study the effect of biodegradable silk fibroin-based scaffolds containing GDNF on the corneal regeneration process. During cultivate the highest keratocytes proliferative activity was registered with scaffolds containing 250 ng/ml and 500 ng/ml GDNF. In mice with an experimental model of epithelial-stromal damage to the cornea, silk fibroin-based scaffolds containing GDNF in various concentrations were used (in groups 1, 2 and 3 silk fibroin-based scaffolds containing GDNF in a concentration of 50 ng/ml, 250 ng/ml and 500 ng/ml, respectively; in group 4 - silk fibroin-based scaffolds without GDNF; in group 5 - a solution of GDNF with concentration of 500 ng/ml; group 6- control). The area of the corneal epithelial defect in groups 2, 3, and 5 was less than in the other groups. The most pronounced positive immunohistochemical reaction with antibodies to Bcl2, Bax, phosphoERK1/2 and phospho-JNK1/2, Ki67, Gap43 was observed in groups 2 and 3. Thus, silk fibroin-based scaffolds with GDNF stimulate the epithelialization process, proliferative activity of epithelial cells and keratocytes, accelerate the formation of the stromal nerve plexus and exhibit anti-apoptotic activity.",2021,International journal of biological macromolecules,10.1016/j.ijbiomac.2021.06.040,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,9,in vivo evidence; clear biomaterial/scaffold/carrier signal; reconstruction/regeneration relevance,no,yes,no,yes,no,yes,Priority 2 - retrieve after shortlist
PUBMED_0499,34923312,Exosomes-loaded thermosensitive hydrogels for corneal epithelium and stroma regeneration.,"Corneal damage forms scar tissue and manifests as permanent corneal opacity, which is the main cause of visual impairment caused by corneal diseases. To treat these diseases, herein, we developed a novel approach based on the exosome derived from induced pluripotent stem cell-derived mesenchymal stem cells (iPSC-MSCs) combined with a thermosensitive hydrogel, which reduces scar formation and accelerates the healing process. We found that a thermosensitive chitosan-based hydrogels (CHI hydrogel) sustained-release iPSC-MSC exosomes can effectively promote the repair of damaged corneal epithelium and stromal layer, downregulating mRNA expression coding for the three most enriched collagens (collagen type I alpha 1, collagen type V alpha 1 and collagen type V alpha 2) in corneal stroma and reducing scar formation in vivo. Furthermore, iPSC-MSCs secrete exosomes that contain miR-432-5p, which suppresses translocation-associated membrane protein 2 (TRAM2), a vital modulator of the collagen biosynthesis in the corneal stromal stem cells to avert the deposition of extracellular matrix (ECM). Our findings indicate that iPSC-MSCs secrete miRNA-containing exosomes to promote corneal epithelium and stroma regeneration, and that miR-432-5p can prevent ECM deposition via a mechanism most probably linked to direct repression of its target gene TRAM2. Overall, our exosomes-based thermosensitive CHI hydrogel, is a promising technology for clinical therapy of various corneal diseases.",2022,Biomaterials,10.1016/j.biomaterials.2021.121320,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,9,in vivo evidence; clear biomaterial/scaffold/carrier signal; reconstruction/regeneration relevance,no,yes,no,yes,no,yes,Priority 2 - retrieve after shortlist
