screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0501,34971485,"Canine endotheliitis: Clinical characteristics, advanced imaging features, and treatment.","OBJECTIVE: To describe the clinical findings, multimodal corneal imaging features and treatment in canine patients diagnosed with endotheliitis. ANIMALS STUDIED: Four canine patients met inclusion criteria for bilateral corneal disease with endothelial inflammation and secondary corneal edema that responded to topical anti-inflammatory treatment. METHODS: The patients selected underwent a complete ophthalmic examination with emphasis on the cornea including ultrasound pachymetry (USP), Fourier-domain optical coherence tomography (FD-OCT), in vivo confocal microscopy (IVCM), and digital slit lamp photography. RESULTS: All patients in this study demonstrated thickened corneas due to edema with USP and FD-OCT. With IVCM, mild to severe polymegathism and pleomorphism of corneal endothelial cells, reduced endothelial cell density, hyperreflective keratic precipitates (KPs), and extracellular debris as well as hyporeflective pseudoguttata were observed. With FD-OCT, hyperreflective KPs were commonly observed on the inferior cornea. Clinical examination and advanced imaging results were consistent with a diagnosis of endotheliitis. All patients initially responded to topical anti-inflammatory treatment and required continued therapy; two patients also received topical netarsudil, a rho-associated coiled-coil kinase inhibitor. CONCLUSION: Endotheliitis should be considered for canine patients with bilateral edema that is most severe in the inferior cornea. Careful inspection of Descemet's membrane-endothelial complex should be performed for KPs or inflammatory debris. Chronic administration of topical anti-inflammatories may be necessary to prevent flare-ups of endotheliitis.",2022,Veterinary ophthalmology,10.1111/vop.12967,C4_endothelium,1,,,,,
PUBMED_0502,34976970,A Liquid Hydrogel to Restore Long Term Corneal Integrity After Perforating and Non-Perforating Trauma in Feline Eyes.,"Purpose: To evaluate long-term in vivo functionality of corneas regenerated using a cell-free, liquid hydrogel filler (LiQD Cornea) after deep corneal trauma in the feline model. Methods: Two healthy cats underwent 4 mm diameter stepwise 250/450 µm deep surgical corneal ablation with and without needle perforation. The filler comprising 10% (w/w) collagen-like peptide conjugated to polyethylene glycol (CLP-PEG) and 1% fibrinogen and crosslinked with 2% (w/w) 4-(4,6-dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholinium chloride (DMTMM), was applied to the wound bed previously coated with thrombin (250 U/ml). In situ gelation occurred within 5 min, and a temporary tarsorrhaphy was performed. Eyes were examined weekly for 1 month, then monthly over 12 months. Outcome parameters included slit-lamp, Scheimpflug tomography, optical coherence tomography, confocal and specular microscopy, and immunohistochemistry studies. Results: The gelled filler was seamlessly incorporated, supporting smooth corneal re-epithelialization. Progressive in-growth of keratocytes and nerves into the filler corresponding to the mild haze observed faded with time. The regenerated neo-cornea remained stably integrated throughout the 12 months, without swelling, inflammation, infection, neovascularization, or rejection. The surrounding host stroma and endothelium remained normal at all times. Tomography confirmed restoration of a smooth surface curvature. Conclusion: Biointegration of this hydrogel filler allowed stable restoration of corneal shape and transparency in the feline model, with less inflammation and no neovascularization compared to previous reports in the minipig and rabbit models. It offers a promising alternative to cyanoacrylate glue and corneal transplantation for ulcerated and traumatized corneas in human patients.",2021,Frontiers in bioengineering and biotechnology,10.3389/fbioe.2021.773294,B3_stroma,1,,,,,
PUBMED_0503,34993214,Ultrastructural Analysis of Rehydrated Human Donor Corneas After Air-Drying and Dissection by Femtosecond Laser.,"Purpose: To evaluate the efficiency of femtosecond laser (FSL) incision of rehydrated human donor corneas after air-drying and its effects on corneal structure. Methods: We compared the rehydrated and fresh-preserved corneas by microscopy following Victus-Tecnolas FSL treatment for straight-edge anterior lamellar keratoplasty (ALK). The corneas were dehydrated at room temperature under a laminar-flow hood. Results: To obtain the horizontal cut in rehydrated corneas, we increased the FSL pulse energy to 1.2 μJ from 0.80 μJ applied for the fresh corneas and obtained a clear-cut separation of the lamellar lenticule cap from the corneal bed. Light microscopy showed regular arrangement of stromal collagen lamellae, with spaces in between the fibers in the corneal stroma in the fresh and the rehydrated corneas, but the uppermost epithelial layers in the rehydrated corneas were lost. Transmission electron microscopy (TEM) revealed no signs of thermal or mechanical damage to the corneal structure. The epithelial basal membrane and Bowman's layer maintained their integrity. The epithelial basal layer and cells were separated by large spaces due to junction alteration in the rehydrated corneas. There were gaps between the lamellar layers in the stroma, especially in the rehydrated corneas. Keratocytes displayed normal structure in the fresh corneas but were devoid of microorganules in the rehydrated corneas. Minor irregularities were observed in the vertical incision and the horizontal stroma appeared smooth on scanning electron microscopy. Conclusion: The corneal stroma of rehydrated corneas maintained morphology and integrity, while corneal cellular components were generally altered. When corneas are intended for FSL-assisted ALK, effective stromal bed incision is best achieved at a laser power higher than that currently adopted for fresh corneas.",2021,Frontiers in medicine,10.3389/fmed.2021.787937,B3_stroma,1,,,,,
PUBMED_0504,35000055,Descemet membrane endothelial keratoplasty: analysis of clinical outcomes of patients with 8-10 years follow-up.,"PURPOSE: This study aimed to evaluate the clinical outcomes up to 10 years after Descemet membrane endothelial keratoplasty (DMEK). METHODS: In this retrospective, consecutive, single-center case series the medical files of eyes which have received DMEK between 2009 and 2012 for the treatment of endothelial dysfunction was evaluated regarding follow-up time and clinical outcomes. Annual examinations of best-corrected visual acuity (BCVA), endothelial cell density (ECD), central corneal thickness (CCT) of 66 eyes which fulfilled the criterion of a minimum of 8 years follow-up were analyzed. RESULTS: BCVA improved from 0.55 ± 0.37 logMAR (n = 54) to 0.15 ± 0.11 (n = 47) in eyes without ocular comorbidities one year after DMEK (p < 0.001), and remained stable up to 10 years after DMEK. Mean ECD decreased to 744 ± 207 cells/mm(2) (n = 39) after 9 years, and to 729 ± 167 cells/mm(2) (n = 21) after 10 years, respectively. CCT decreased from 650 ± 67 μm before DMEK to 525 ± 40 μm (n = 56) after 1 year, increasing slowly to 563 ± 40 µm (n = 39) after 9 years, and to 570 ± 42 µm (n = 21) after 10 years, respectively. Graft failure occurred in 4 of 66 eyes after year 8. These 4 eyes required repeat DMEK after 101-127 months. CONCLUSION: This study shows the long-term outcomes in a small subset of DMEK grafts. Visual acuity remained stable in spite of slowly increasing corneal thickness and diminishing endothelial cell density during the 10-year period after DMEK.",2022,International ophthalmology,10.1007/s10792-021-02176-3,C4_endothelium,1,,,,,
PUBMED_0505,35002638,"The Functional Anatomy of the Cornea and Anterior Chamber in Lampreys: Insights From the Pouched Lamprey, Geotria australis (Geotriidae, Agnatha).","Extant lampreys (Petromyzontiformes) are one of two lineages of surviving jawless fishes or agnathans, and are therefore of critical importance to our understanding of vertebrate evolution. Anadromous lampreys undergo a protracted lifecycle, which includes metamorphosis from a larval ammocoete stage to an adult that moves between freshwater and saltwater with exposure to a range of lighting conditions. Previous studies have revealed that photoreception differs radically across the three extant families with the Pouched lamprey Geotria australis possessing a complex retina with the potential for pentachromacy. This study investigates the functional morphology of the cornea and anterior chamber of G. australis, which is specialised compared to its northern hemisphere counterparts. Using light microscopy, scanning and transmission electron microscopy and microcomputed tomography, the cornea is found to be split into a primary spectacle (dermal cornea) and a scleral cornea (continuous with the scleral eyecup), separated by a mucoid layer bounded on each side by a basement membrane. A number of other specialisations are described including mucin-secreting epithelial cells and microholes, four types of stromal sutures for the inhibition of stromal swelling, abundant anastomosing and branching of collagen lamellae, and a scleral endothelium bounded by basement membranes. The structure and function of the cornea including an annular and possibly a pectinate ligament and iris are discussed in the context of the evolution of the eye in vertebrates.",2021,Frontiers in neuroanatomy,10.3389/fnana.2021.786729,B3_stroma,1,,,,,
PUBMED_0506,35006715,Photo-cross-linked Gelatin Glycidyl Methacrylate/N-Vinylpyrrolidone Copolymeric Hydrogel with Tunable Mechanical Properties for Ocular Tissue Engineering Applications.,"Corneal transplantation is currently the primary treatment for corneal blindness. However, severe global scarcity of donor corneas is driving the scientific community to find novel solutions. One potential solution is to replace the damaged tissue with a biocompatible artificial cornea. Here, gelatin glycidyl methacrylate (GM) and N-vinylpyrrolidone (VP) were cocrosslinked to afford a hybrid bicomponent copolymeric hydrogel with excellent mechanical, structural, and biological properties. Our studies showed that the GM/VP ratio can be adjusted to generate a construct with high tensile modulus and strength of 1.6 and 1.0 MPa, respectively, compared to 14 and 7.5 MPa for human cornea. The construct can tolerate up to 22.4 kPa pressure before retention sutures can tear through it. Due to the presence of a synthetic component, it has a significantly higher stability against collagenase induced degradation, yet it is biocompatible and promotes cellular adhesion, proliferation, and migration under in vitro settings.",2021,ACS applied bio materials,10.1021/acsabm.1c00905,D3_full_thickness_multilayer,1,,,,,
PUBMED_0507,35006734,Tuning Electrospun Substrate Stiffness for the Fabrication of a Biomimetic Amniotic Membrane Substitute for Corneal Healing.,"Corneal blindness is the fourth most common cause of vision impairment worldwide with a high incidence in global south countries. A recently developed surgical technique for treating corneal blindness is simple limbal epithelial transplantation (SLET), which uses small pieces of healthy limbal tissue (limbal explants) delivered to the damaged eye using the human amniotic membrane (AM) as a carrier. SLET relies on the use of tissue banks for the AM that reduces the availability of the technique. Replacing the AM with a synthetic membrane is key to making SLET more accessible to those who need it. Previous research has demonstrated the suitability of electrospun poly(lactide-co-glycolide) (PLGA) scaffolds as AM substitutes, and here, we report how these membranes can be tailored to mimic fundamental AM mechanical properties. To modify the stiffness of PLGA electrospun membranes, we explored different electrospinning solvent systems (1,1,1,3,3,3,-hexafluoroisopropanol (HFIP), dichloromethane (DCM), chloroform, and N,N-dimethylformamide (DMF)) and the use of plasticizers (PEG(400) and glycerol). PEG(400) was found to reduce stiffness from 60 MPa to around 4 MPa, approaching the values shown by the native AM. The biocompatibility of membranes with and without PEG(400) was found to be comparable, and cell outgrowth from rabbit/porcine explants was successfully observed on the materials after 3 weeks. This research underpins the manufacture of next-generation fibrous biomimetic membranes that will ultimately be used as amniotic membrane substitutes for biomedical applications including SLET.",2021,ACS applied bio materials,10.1021/acsabm.1c00436,A3_epithelium_limbus,1,,,,,
PUBMED_0508,35006959,Thickening of Ectatic Cornea through Regeneration Using Decellularized Corneal Matrix Injectable Hydrogel: A Strategic Advancement to Mitigate Corneal Ectasia.,"Ectatic corneal diseases are a group of eye disorders characterized by progressive thinning and outward bulging of the cornea, resulting in vision impairment. A few attempts have been made to use cornea-derived extracellular matrix hydrogels for corneal tissue engineering; however, no studies have investigated its application in corneal ectasia. In this study, we have first developed an animal surgical model that mimics a few specific phenotypes of ectatic cornea. Later, we investigated the potential of decellularized cornea matrix hydrogels (dCMH) from both human and bovine sources in increasing the thickness of the cornea in the developed surgical model. Our data advocate that surgical stromal depletion can be followed to establish ectatic models and can also provide information on the biocompatibility of materials, its integration with native stroma, degradation over time, and tissue remodeling. We observed that dCMH from both sources could integrate with ectatic thin corneal stroma and helps in regaining the thickness by regenerating a reasonably functional and transparent stroma; however, no significant difference was spotted between the dCMH made from human and bovine corneal tissue sources. Hence, this study is a promising step toward developing a non-invasive technique for the treatment of corneal ectasia by using dCMH.",2021,ACS applied bio materials,10.1021/acsabm.1c00821,B3_stroma,1,,,,,
PUBMED_0509,35007519,"Effect of travoprost, latanoprost and bimatoprost PGF2α treatments on the biomechanical properties of in-vivo rabbit cornea.","Prostaglandin F2α analogues (PGF2α), one of the most commonly prescribed classes of hypotensive agents, could decrease collagen fibril density and remodel the extracellular matrix in cornea. We hypothesized that PGF2α's would induce corneal softening, reduce the accuracy of intraocular pressure (IOP) measurement and lead to uncertainty in the effectiveness of the therapy. We determined the stress-strain behavior of rabbit cornea after PGF2α usage and evaluated the effect of biomechanical changes associated with PGF2α treatment on IOP measurements by Goldmann Applanation Tonometry (GAT). The tangent modulus decreased after PGF2α treatment, while the stromal interfibrillar spacing increased. PGF2α was shown to also affect the lateral eye with lower effect, which did not undergo direct eyedrop treatment. Significant decreases in the numerical predictions of GAT-IOP were predicted in all treated groups relative to control groups. Different PGF2α's (travoprost, latanoprost and bimatoprost) were associated with different extents of reduction in tissue stiffness and changes in corneal microstructure. PGF2α-induced changes in corneal mechanical properties could reduce the accuracy of IOP measurement and may cause an overestimation of the effect of PGF2α in lowering IOP, possibly leading to uncertainties in glaucoma management.",2022,Experimental eye research,10.1016/j.exer.2022.108920,B3_stroma,1,,,,,
PUBMED_0510,35007520,Direct oral mucosal epithelial transplantation supplies stem cells and promotes corneal wound healing to treat refractory persistent corneal epithelial defects.,"Persistent corneal epithelial defects (PED) can lead to irreversible blindness, seriously affecting the social function and life quality of these patients. When it comes to refractory PED, such as limbal stem cell deficiency (LSCD), that does not respond to standard managements, stem cell therapy is an ideal method. Oral mucosal epithelium (OME) abundant with stem cells within the base, is a promising autologous biomaterial, with much resemblance to corneal epithelial structures. In this experiment, uncultured autologous rat OME was directly applied to alkali burned corneas. Clinical evaluations and histological analyses showed that the transplantation accelerated the healing process, presenting faster re-epithelization and better formation of corneal epithelial barrier. To further investigate the therapeutic mechanism, oral epithelium was transplanted to de-epithelialized cornea in vitro for organ culture. It could be observed that the oral epithelial cells could migrate to the corneal surface and form smooth and stratified epithelium. Immunofluorescence staining results showed that the re-formed epithelium derived from OME, maintained stemness and transformed to corneal epithelial phenotype to some extent. Corneal stroma may provide the suitable microenvironment to promote the trans-differentiation of oral stem cells. Thus, both in vivo and in vitro experiments suggested that oral epithelium could play a positive role in treating refractory PED.",2022,Experimental eye research,10.1016/j.exer.2022.108934,A3_epithelium_limbus,1,,,,,
PUBMED_0511,35011740,Isolation and Propagation of Human Corneal Stromal Keratocytes for Tissue Engineering and Cell Therapy.,"The human corneal stroma contains corneal stromal keratocytes (CSKs) that synthesize and deposit collagens and keratan sulfate proteoglycans into the stromal matrix to maintain the corneal structural integrity and transparency. In adult corneas, CSKs are quiescent and arrested in the G0 phase of the cell cycle. Following injury, some CSKs undergo apoptosis, whereas the surviving cells are activated to become stromal fibroblasts (SFs) and myofibroblasts (MyoFBs), as a natural mechanism of wound healing. The SFs and MyoFBs secrete abnormal extracellular matrix proteins, leading to corneal fibrosis and scar formation (corneal opacification). The issue is compounded by the fact that CSK transformation into SFs or MyoFBs is irreversible in vivo, which leads to chronic opacification. In this scenario, corneal transplantation is the only recourse. The application of cell therapy by replenishing CSKs, propagated in vitro, in the injured corneas has been demonstrated to be efficacious in resolving early-onset corneal opacification. However, expanding CSKs is challenging and has been the limiting factor for the application in corneal tissue engineering and cell therapy. The supplementation of serum in the culture medium promotes cell division but inevitably converts the CSKs into SFs. Similar to the in vivo conditions, the transformation is irreversible, even when the SF culture is switched to a serum-free medium. In the current article, we present a detailed protocol on the isolation and propagation of bona fide human CSKs and the morphological and genotypic differences from SFs.",2022,Cells,10.3390/cells11010178,B3_stroma,1,,,,,
PUBMED_0512,35014304,Prevention of Corneal Myofibroblastic Differentiation In Vitro Using a Biomimetic ECM Hydrogel for Corneal Tissue Regeneration.,"Corneal scarring is one of the major causes of blindness, affecting millions worldwide. Despite recent advancements in surgical strategies, there is an unmet need for a clinically feasible material and methods to prevent scarring following corneal injury. In this study, we report the potential utility of a hydrogel derived from cadaveric animal corneas, using a decellularized corneal matrix hydrogel (abbreviated as dCMH), which is prepared by a simple method. This hydrogel is easily injectable, biocompatible, and has the ability to maintain good shape-retention properties at 37 °C, which make it suitable for in vivo applications. Furthermore, our gene expression studies and immunofluorescence studies indicate that dCMH maintains the morphology and function of keratocytes in vitro and prevents their transdifferentiation to myofibroblasts. From the above results, it is evident that dCMH maintains the keratocytes with the ability to regenerate the corneal defect without scar. We thus suggest a simple yet effective approach for corneal tissue decellularization and that dCMH can be a promising material for prophylaxis against blinding scar formation in an injured cornea.",2021,ACS applied bio materials,10.1021/acsabm.0c01112,B3_stroma,1,,,,,
