screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,final_core_status,strict_final_status,endothelium_relevance_score,endothelium_relevance_terms,recommended_action,strict_endothelium_decision,strict_endothelium_reason,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision,refined_top_tier_decision,refined_top_tier_reason,strict_retrieval_score,strict_retrieval_reason,has_clinical,has_in_vivo,has_ex_vivo,has_material,has_benchmark,has_reconstruction,strict_retrieval_group
PUBMED_0531,35238557,Novel Corneal Endothelial Cell Carrier Couples a Biodegradable Polymer and a Mesenchymal Stem Cell-Derived Extracellular Matrix.,"Here, we report a transparent, biodegradable, and cell-adhesive carrier that is securely coupled with the extracellular matrix (ECM) for corneal endothelial cell (CEC) transplantation. To fabricate a CEC carrier, poly(lactide-co-caprolactone) (PLCL) solution was poured onto the decellularized ECM (UMDM) derived from in vitro cultured umbilical cord blood-MSCs. Once completely dried, ECM-PLCL was then peeled off from the substrate. It was 20 μm thick, transparent, rich in fibronectin and collagen type IV, and easy to handle. Surface characterizations exhibited that ECM-PLCL was very rough (54.0 ± 4.50 nm) and uniformly covered in high density by ECM and retained a positive surface charge (65.2 ± 57.8 mV), as assessed via atomic force microscopy. Human CECs (B4G12) on the ECM-PLCL showed good cell attachment, with a cell density similar to the normal cornea. They could also maintain a cell phenotype, with nicely formed cell-cell junctions as assessed via ZO-1 and N-cadherin at 14 days. This was in sharp contrast to the CEC behaviors on the FNC-coated PLCL (positive control). A function-related marker, Na(+)/K(+)-ATPase, was also identified via western blot and immunofluorescence. In addition, primary rabbit CECs showed a normal shape and they could express structural and functional proteins on the ECM-PLCL. A simulation test confirmed that CECs loaded on the ECM-PLCL were successfully engrafted into the decellularized porcine corneal tissue, with a high engraftment level and cell viability. Moreover, ECM-PLCL transplantation into the anterior chamber of the rabbit eye for 8 weeks proved the maintenance of normal cornea properties. Taken together, this study demonstrates that our ECM-PLCL can be a promising cornea endothelium graft with an excellent ECM microenvironment for CECs.",2022,ACS applied materials & interfaces,10.1021/acsami.2c01709,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,carrier; substrate; corneal endothelial cell; na(+)/k(+)-atpase; zo-1; cell density; rabbit; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,15,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0649,37023465,In Vitro Profiling of the Extracellular Matrix and Integrins Expressed by Human Corneal Endothelial Cells Cultured on Silk Fibroin-Based Matrices.,"Developing a scaffold for culturing human corneal endothelial (HCE) cells is crucial as an alternative cell therapeutic approach to bridge the growing gap between the demand and availability of healthy donor corneas for transplantation. Silk films are promising substrates for the culture of these cells; however, their tensile strength is several-fold greater than the native basement membrane which can possibly influence the dynamics of cell-matrix interaction and the extracellular matrix (ECM) secreted by the cells in long-term culture. In our current study, we assessed the secretion of ECM and the expression of integrins by the HCE cells on Philosamia ricini (PR) and Antheraea assamensis (AA) silk films and fibronectin-collagen (FNC)-coated plastic dishes to understand the cell-ECM interaction in long-term culture. The expression of ECM proteins (collagens 1, 4, 8, and 12, laminin, and fibronectin) on silk was comparable to that on the native tissue. The thicknesses of collagen 8 and laminin at 30 days on both PR (4.78 ± 0.55 and 5.53 ± 0.51 μm, respectively) and AA (4.66 ± 0.72 and 5.71 ± 0.61 μm, respectively) were comparable with those of the native tissue (4.4 ± 0.63 and 5.28 ± 0.72 μm, respectively). The integrin expression by the cells on the silk films was also comparable to that on the native tissue, except for α3 whose fluorescence intensity was significantly higher on PR (p ≤ 0.01) and AA (p ≤ 0.001), compared to that on the native tissue. This study shows that the higher tensile strength of the silk films does not alter the ECM secretion or cell phenotype in long-term culture, confirming the suitability of using this material for engineering the HCE cells for transplantation.",2023,ACS biomaterials science & engineering,10.1021/acsbiomaterials.2c01566,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,3,scaffold; substrate; membrane; corneal endothelial cell; endothelial cells; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,15,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0777,38780042,Alginate Hydrogel Integrated with a Human Fibroblast-Derived Extracellular Matrix Supports Corneal Endothelial Cell Functionality and Suppresses Endothelial-Mesenchymal Transition.,"Human corneal transplantation is still the only option to restore the function of corneal endothelial cells (CECs). Therefore, there is an urgent need for hCEC delivery systems to replace the human donor cornea. Here, we propose an alginate hydrogel (AH)-based delivery system, where a human fibroblast-derived, decellularized extracellular matrix (ECM) was physically integrated with AH. This AH securely combined with the ECM (ECM-AH) was approximately 50 μm thick, transparent, and permeable. The surface roughness and surface potential provided ECM-AH with a favorable microenvironment for CEC adhesion and growth in vitro. More importantly, ECM-AH could support the structural (ZO-1) and functional (Na(+)/K(+)-ATPase) markers of hCECs, as assessed via western blotting and quantitative polymerase chain reaction, which were comparable with those of a ferritic nitrocarburizing (FNC)-coated substrate (a positive control). The cell density per unit area was also significantly better with ECM-AH than the FNC substrate at day 7. A simulation test of cell engraftment in vitro showed that hCECs were successfully transferred into the decellularized porcine corneal tissue, where they were mostly alive. Furthermore, we found out that the endothelial-mesenchymal transition (EnMT)-inductive factors (Smad2 and vimentin) were largely declined with the hCECs grown on ECM-AH, whereas the EnMT inhibitory factor (Smad7) was significantly elevated. The difference was statistically significant compared to that of the FNC substrate. Moreover, we also observed that TGF-β1-treated hCECs showed faster recovery of cell phenotype on the ECM. Taken together, our study demonstrates that ECM-AH is a very promising material for hCEC culture and delivery, which endows an excellent microenvironment for cell function and phenotype maintenance.",2024,ACS biomaterials science & engineering,10.1021/acsbiomaterials.4c00040,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,substrate; corneal endothelial cell; hcec; endothelial cells; na(+)/k(+)-atpase; zo-1; cell density; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,15,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0827,39386038,The time dependent influence of curvature and topography of biomaterials in the behavior of corneal endothelial cells.,"Among the different layers of the cornea, the corneal endothelium, which is composed of corneal endothelial cells (CEC), plays a key role in the maintenance of cornea transparency. Based on the donor shortages and the limitations associated with transplantation, in this work we have developed collagen hydrogels with different patterned structures on the surface to provide topographies in ranges similar to the natural environment that CEC sense. This aimed at stimulating cells to maintain a typical CEC phenotype and provide alternatives to corneal transplantation. In this sense, we have elaborated curved collagen hydrogels (concave and convex) with three different topographies (50, 200 and 300 µm grooves), with the help of 3D printed mold and replicating the mold with the collagen hydrogel, onto which CEC were cultured in order to analyze its behavior. Flat hydrogels were used as controls. Cell morphology, cell circularity and gene expression of ATP1A1 and ZO-1 genes were analyzed after 3 and 6 days. Results showed an effect of the curvature and the topography compared to flat collagen hydrogels, showing higher expression of ZO-1 and ATP1A1 in curved non-patterned hydrogels at day 3. The patterned hydrogels did not have such a significant effect on gene expression compared to flat hydrogels, showing stronger effect of the curvature compared to the topography. The effect was opposite at day 6, showing higher gene expression at days 6 on the patterned hydrogels, especially for the ZO-1 gene. The gene expression results were in accordance with the cell morphology observed at the different time points, showing circularities closer to hexagon like morphology at shorter time points. Overall, this platform can serve as a system to culture cell under proper environment to further be able to transplant a CEC monolayer or to allow transplantation of thin collagen layers with cultured CEC.",2024,Frontiers in bioengineering and biotechnology,10.3389/fbioe.2024.1454675,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,3,corneal endothelial cell; endothelial cells; monolayer; zo-1; transparency; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,15,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0934,40446990,The interaction of the biocompatible scaffold containing nanochitosan-chitosan-polycaprolactone with telomerase activator and rock inhibitor in propagation and functional properties of corneal endothelial cells.,"BACKGROUND: Corneal endothelial disfunction, which is results from the injury or loss of corneal endothelial cells (CECs), is the major cause of corneal opacity and visual impairment. Corneal transplantation is the only therapeutic choice for endothelium deficiency, but global donor shortage has posed a serious challenge worldwide. Alternative treatments, especially regenerative medicine strategies including cell therapy and tissue engineering, can overcome this limitation. Hence, the aim of this study is the construction of transplantable grafts carrying functional CECs. METHODS: We fabricated and characterized scaffold containing chitosan nanoparticles, chitosan and polycaprolactone. HCECs were isolated from corneal endothelium and cultured on the fabricated scaffold. Cell proliferation was induced using the telomerase activator and ROCK inhibitor. Functional characteristics of the HCECs and cell-scaffold interactions were evaluated via evaluation of gene expression, flow cytometry, electron microscopy and MTT assay. RESULTS: The results showed that fabricated scaffold had a suitable transparency and grate biocompatibility. >98 % of the isolated cells had the CD166(+)/CD98(+) phenotype. Telomerase activator and ROCK inhibitor increased the proliferation of HCECs by 1.5 and 2.3 times, respectively, and the simultaneous use synergistically increased the cell proliferation by 4.3 times. Culture of HCECs on scaffolds significantly increased their proliferation. Cell count, SEM images and H&E results showed proper cell-surface interaction with the formation of a cell monolayer on the scaffold. Flow cytometry results showed that >97 % of the cells cultured on scaffold maintained their CD166(+)/CD44(-) phenotype. CONCLUSIONS: According to the results, the designed scaffold and telomerase activator and ROCK inhibitor had the synergistic effects on cultured HCECs behaviors such as cell adhesion, proliferation and phenotypic maintenance, which is powerful evidence for application of this scaffold as a suitable carrier for HCECs transplantation.",2025,International journal of biological macromolecules,10.1016/j.ijbiomac.2025.144744,C4_endothelium;D3_full_thickness_multilayer,2,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,15,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0981,40986463,Tissue-Engineered Endothelial Keratoplasty with Controlled Cell Density: Toward Super TEEKs.,"Over the past 20 years, endothelial keratoplasty procedures have revolutionized the treatment of corneal endothelial disorders. These conditions have now become the leading indication for corneal transplantation in Western countries and account for half of all donor cornea usage. Despite their undeniable success, the global shortage of donor tissues and major disparities between nations justify the development of alternatives to donor grafts. Cell therapy using injections of suspended endothelial cells has proven effective, and tissue-engineered endothelial keratoplasty (TEEK), comprising a membrane coated with cultured endothelial cells, is under development to better mimic the native endothelial graft. Our team utilizes a femtosecond-laser-cut lens capsule disc as a bioengineering scaffold, taking advantage of this novel tissue's biocompatibility, transparency, curvature, and availability. In the present study, we provide proof of concept, in 12 TEEKs, that it is possible to control the final endothelial cell density (ECD) by varying the seeding density per mm(2). Cell characterization was performed through morphometric analysis of the endothelial mosaic stained with anti-NCAM (a lateral membrane marker used as a differentiation marker), using the CellPose artificial intelligence algorithm specifically trained for in vitro endothelium segmentation. Five criteria related to pleomorphism, polymorphism, and elongation were combined into a single endothelial quality score. The median cell viability at 28 days of culture, assessed by Hoechst 33342 and Calcein-AM staining, reached 98% (range: 83-99%). The median viable ECD (number of live cells per surface unit) in the highest-density group was 3.245 cells/mm(2) (range: 2.778-3.753), paving the way for the bioengineering of supra-physiological TEEKs, or ""super TEEKs"".",2025,Tissue engineering. Part A,10.1177/19373341251381346,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,scaffold; membrane; endothelial keratoplasty; endothelial cells; cell density; transparency; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,15,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,no,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0910,40221533,Tissue engineered corneal endothelium transplantation in an ex vivo human cornea organ culture model.,"Transplantation of corneal tissue is the standard treatment for irreversible corneal endothelium decompensation by replacing the malfunctioning corneal endothelial cells and Descemet's membrane. However, this surgery depends on limited donor tissue supply. Thus, developing suitable alternatives for donor grafting material through a tissue engineering approach is needed to enable the transplantation of cultured endothelial cells to restore normal endothelial function. Here, we proposed using a plastic compressed collagen 3D matrix called Real Architecture For 3D Tissues (RAFT) as a scaffold for cell culture. The porcine cornea endothelial cells (PCECs) were seeded on RAFT to construct a tissue-engineered corneal endothelium. Then, the porcine cell-seeded-RAFT graft was transplanted onto a human cornea and maintained in an ex vivo organ culture model. The results showed that PCECs formed a high-density monolayer on RAFT expressing endothelial cell markers, ZO-1, Na/K ATPase and N-cadherin. More importantly, the cell-seeded RAFT transplantation successfully restored corneal endothelium function, drawing the thickness of endothelium-wounded cornea back to normal in two weeks of the ex vivo human cornea organ culture.",2025,Scientific reports,10.1038/s41598-025-96494-6,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,scaffold; membrane; descemet; corneal endothelial cell; endothelial cells; cell culture; zo-1; transplantation; surgery,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,14,clinical/translational evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,no,yes,yes,yes,no,Priority 1 - strict retrieval shortlist
PUBMED_0165,31174988,Native means of graft stabilization: Host descemetic scaffolding and wound scaffolding to decrease the risk for graft detachment in DMEK and PDEK.,"The main postoperative complication of Descemet membrane endothelial keratoplasty and pre-Descemet endothelial keratoplasty (PDEK) is graft detachment. We report a technique in which the host Descemet membrane or the incision is used for graft scaffolding. The descemetorhexis is created 0.5 mm smaller than the graft from between 1 quadrant to 360 degrees, preferably in two opposite quadrants. Using the Jacob technique of pressurized air infusion (air pump-assisted PDEK), the host Descemet membrane is gently teased from under the graft with a reverse Sinskey hook and allowed to overlap the graft from the posterior aspect in a scaffolding manner. Wound scaffolding within the incision is attained by pulling any overlapping part of the graft into the inner part of the corneal incision instead of allowing it to lie posterior to the inferior lip. Both these scaffolding maneuvers give an extra degree of scaffolding or support that provides graft stability and thereby decreases the risk for graft detachment.",2019,Journal of cataract and refractive surgery,10.1016/j.jcrs.2019.03.015,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,2,scaffold; membrane; descemet; pump,Manual check,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,13,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; layer-balancing priority,yes,yes,no,yes,no,no,Priority 1 - strict retrieval shortlist
PUBMED_0303,32603022,Designer Descemet Membranes Containing PDLLA and Functionalized Gelatins as Corneal Endothelial Scaffold.,"Corneal blindness is the fourth leading cause of visual impairment. Of specific interest is blindness due to a dysfunctional corneal endothelium which can only be treated by transplanting healthy tissue from a deceased donor. Unfortunately, corneal supply does not meet the demand with only one donor for every 70 patients. Therefore, there is a huge interest in tissue engineering of grafts consisting of an ultra-thin scaffold seeded with cultured endothelial cells. The present research describes the fabrication of such artificial Descemet membranes based on the combination of a biodegradable amorphous polyester (poly (d,l-lactic acid)) and crosslinkable gelatins. Four different crosslinkable gelatin derivatives are compared in terms of processing, membrane quality, and function, as well as biological performance in the presence of corneal endothelial cells. The membranes are fabricated through multi-step spincoating, including a sacrificial layer to allow for straightforward membrane detachment after production. As a consequence, ultrathin (<1 µm), highly transparent (>90%), semi-permeable membranes could be obtained with high biological potential. The membranes supported the characteristic morphology and correct phenotype of corneal endothelial cells while exhibiting similar proliferation rates as the positive control. As a consequence, the proposed membranes prove to be a promising synthetic alternative to donor tissue.",2020,Advanced healthcare materials,10.1002/adhm.202000760,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,2,scaffold; membrane; descemet; corneal endothelial cell; endothelial cells,Manual check,Manual check,"Likely relevant, but title/abstract signal is not strong enough for automatic core addition.",,,,,,,,,,13,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; layer-balancing priority,yes,yes,no,yes,no,no,Priority 1 - strict retrieval shortlist
PUBMED_0060,29710848,Biofunctionalized Lysophosphatidic Acid/Silk Fibroin Film for Cornea Endothelial Cell Regeneration.,"Cornea endothelial cells (CEnCs) tissue engineering is a great challenge to repair diseased or damaged CEnCs and require an appropriate biomaterial to support cell proliferation and differentiation. Biomaterials for CEnCs tissue engineering require biocompatibility, tunable biodegradability, transparency, and suitable mechanical properties. Silk fibroin-based film (SF) is known to meet these factors, but construction of functionalized graft for bioengineering of cornea is still a challenge. Herein, lysophosphatidic acid (LPA) is used to maintain and increase the specific function of CEnCs. The LPA and SF composite film (LPA/SF) was fabricated in this study. Mechanical properties and in vitro studies were performed using a rabbit model to demonstrate the characters of LPA/SF. ATR-FTIR was characterized to identify chemical composition of the films. The morphological and physical properties were performed by SEM, AFM, transparency, and contact angle. Initial cell density and MTT were performed for adhesion and cell viability in the SF and LPA/SF film. Reverse transcription polymerase chain reactions (RT-PCR) and immunofluorescence were performed to examine gene and protein expression. The results showed that films were designed appropriately for CEnCs delivery. Compared to pristine SF, LPA/SF showed higher biocompatibility, cell viability, and expression of CEnCs specific genes and proteins. These indicate that LPA/SF, a new biomaterial, offers potential benefits for CEnCs tissue engineering for regeneration.",2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8050290,C4_endothelium;D3_full_thickness_multilayer,2,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,12,in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,no,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist
