screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,final_core_status,strict_final_status,endothelium_relevance_score,endothelium_relevance_terms,recommended_action,strict_endothelium_decision,strict_endothelium_reason,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision,refined_top_tier_decision,refined_top_tier_reason,strict_retrieval_score,strict_retrieval_reason,has_clinical,has_in_vivo,has_ex_vivo,has_material,has_benchmark,has_reconstruction,strict_retrieval_group,inferred_layer_from_title_abstract,layer_label_audit_decision,has_endothelium_terms,has_epithelium_limbus_terms,has_stroma_terms,has_multiple_layer_terms
PUBMED_0032,29413615,Functionalized silk fibroin film scaffold using β-Carotene for cornea endothelial cell regeneration.,"Design of corneal endothelium substitute is important for replacement of cadaveric cornea tissue. Our previous study has shown the suitability of silk fibroin (SF) as a biomaterial for cornea scaffold. In this study, we used β-Carotene (β-C) to enhance the regeneration of corneal endothelial cells (CEnCs) and maintain CEnC specific function. The fabricated film scaffolds showed desired transparency and hydrophilic properties which are crucial factors for vision recovery. The cell viability, phenotype and gene expression was examined using MTT assay, immunofluorescence and reverse transcription polymerase chain reactions. Compared with pristine SF scaffold, proper amount of β-C incorporated with SF scaffolds showed higher initial cell attachment, cell viability and mRNA expression. The results indicate that the fabricated SF film scaffold incorporated with small amount of β-C might be the suitable alternative corneal endothelium substitute for transplantation.",2018,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2017.11.052,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,scaffold; corneal endothelial cell; endothelial cells; transparency; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,20,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,yes,yes,yes,yes,yes,yes,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0075,29998891,Constructing a Novel Three-Dimensional Biomimetic Corneal Endothelium Graft by Culturing Corneal Endothelium Cells on Compressed Collagen Gels.,"BACKGROUND: Endothelium allotransplantation is the primary treatment for corneal decompensation. The worldwide shortage of donor corneal tissue has led to increasing pressure to seek an alternative for surgical restoration of corneal endothelium. Compressed collagen (CC) gels have excellent biocompatibility, simple preparation course and easy to be manipulated. This study aimed to form a new biomimetic endothelium graft by CC. METHODS: We expanded bovine corneal endothelial cells (B-CECs) on laminin-coated CC to form a biomimetic endothelium graft. Scanning electron microscope was used for ultrastructural analysis and tight junction protein ZO-1 expression was tested by immunohistochemistry. RESULTS: The biomimetic endothelium graft, we conducted had normal cell morphology, ultrastructure and higher cell density (3612.2 ± 43.4 cells/mm(2)). ZO-1 localization at B-CECs membrane indicated the bioengineered graft possess the basic endothelium function. CONCLUSIONS: A. biomimetic endothelium graft with B-CECs expanded on CC sheet was constructed, which possessed cells' morphology similar to that of in vivo endothelial cells and specific basic function of endothelium layer. This method provided the possibility of using one donor's cornea to form multiple uniformed endothelium grafts so as to overcome the shortage of cadaveric cornea tissue.",2018,Chinese medical journal,10.4103/0366-6999.235883,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,membrane; sheet; corneal endothelial cell; endothelial cells; expanded; zo-1; cell density; in vivo; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0157,31129253,Investigating the effect of chitosan/ polycaprolactone blends in differentiation of corneal endothelial cells and extracellular matrix compositions.,"This study aimed to investigate the underlying mechanisms of corneal endothelial cells (CECs) differentiation and identify the extracellular matrix (ECM) compositions using chitosan/polycaprolactone (PCL) blended membrane, hence exploring the potential use of chitosan/PCL blends in tissue engineering of CECs. We utilized the chitosan/PCL blends named as PCL25 consisting of PCL at 25% by weight. The surface characteristics of PCL25 were confirmed by using Fourier Transform Infrared Spectroscopy (FTIR) and Atomic Force Microscope (AFM). Bovine CECs were cultured on the blends, compared with TCPS and pure chitosan membrane. Cell behaviors in terms of cell attachment, proliferation, differentiation phenotype and expression of differentiation proteins were examined. Furthermore, ECM protein productions were also analyzed. From the experiments, we found the topography (roughness) of PCL25 membrane examined by AFM was greater than pure chitosan membrane. FTIR results confirmed the functional groups of C=O bond of PCL. The CECs displayed hexagonal morphology and similar proliferation rate on both PCL25 membrane and TCPS. In addition, the immunofluorescence evidence showed well-localized ZO-1 and Na(+)/K(+) ATPase expression of membrane proteins. ECM protein productions of CECs on PCL were no inferior to TCPS. Moreover, western blot results verified the higher amount of collagen type IV, and reduced TGF-β2 expression on PCL25 membrane compared to TCPS substrate. In conclusions, chitosan/PCL blends membrane provided a favorable environment for CECs in terms of ECM compositions, therefore enhancing the growth and differentiation. Accordingly, for CEC tissue engineering applications, PCL 25 might be a suitable alternative for cadaveric cornea transplantation in the near future.",2019,Experimental eye research,10.1016/j.exer.2019.05.019,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,substrate; membrane; corneal endothelial cell; endothelial cells; zo-1; hexagonal; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0304,32622067,Evaluation of reconstructed human corneal endothelium sheets made with porcine Descemet's membrane in vitro and in vivo.,"PURPOSE: To identify the feasibility of reconstructing corneal endothelial sheets by seeding non-infected monoclonal human corneal endothelial cells (HCECs) onto porcine Descemet's membrane (DM) and verifying the function in vitro and in vivo. METHODS: Denuded porcine DM was decellularized for haematoxylin and eosin staining, and DNA was removed via incubation with ethylene glycol diglycidyl ether (EGDE). The physical properties of the incubated DMs were evaluated and compared to those of unincubated DMs. The non-infected monoclonal HCECs were examined by chromosome analysis and the cell proliferation was evaluated by BrdU-labelling. Then HCECs at passage 30 were then seeded on the DM and cultured for approximately 5 days. The cell growth, density and expression of the sodium-potassium adenosine triphosphatase (Na(+)/K(+)-ATPase), the tight-junction-associated protein zonula occludens (ZO-1) and acetylated alpha tubulin were examined by electron microscopy and immunocytochemistry to compare HCECs cultivated on porcine DM and those cultured in vitro. Cells on the reconstructed HCEC sheets were labeled with DiI, and the sheets were subsequently transplanted into cat eyes via DM endothelial keratoplasty (DMEK). The corneal transparency, thickness, anterior segment, and HCEC density were monitored in vivo, and the corneal endothelial cell morphology and histological structure were examined ex vivo 98 days after surgery. RESULTS: No significant differences were observed in the elongation at break of the DMs and the thickness of the DMs incubated with EGDE compared to those of the unincubated DMs (P > 0.05). Results of chromosome analysis shown the number of the HCEC cell line was still 46 and no abnormal chromosome structure was found. BrdU-labelling shown the HCECs stopped proliferating after 5 days and the cells formed a single layer. The cells transferred to porcine DM formed tight connections with the substrate and generated layers of hexagonal cells on day 5. Adjacent cells cultivated on DM were closely attached to each other, tightly adhered to the porcine DM and expressed the Na(+)/K(+)-ATPase, ZO-1 protein and acetylated alpha tubulin, as did HCECs cultured in vitro. In addition, the HCEC density on DMs was 3020.14 ± 52.30 cells/mm(2). After surgery, the corneas gradually became transparent, and the thickness decreased to 525.33 ± 56.23 μm at day 98 after the transplantation, while the control corneas showed consistent oedema during the monitoring period. The HCEC density was 2521.60 ± 78.24 cells/mm(2) in vivo 98 days after transplantation. The histological results showed that the DiI-labeled cells were dense in the transplanted area and had a hexagonal or polygonal morphology and a normal ultrastructure; adjacent cells were closely attached to each other and tightly adhered to the porcine DM. CONCLUSIONS: Seeding non-infected monoclonal HCECs on porcine DM could reconstruct functional corneal endothelial sheets. These results may help uncover new applications for tissue-engineered endothelium in endothelial keratoplasty.",2020,Experimental eye research,10.1016/j.exer.2020.108125,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,substrate; membrane; sheet; corneal endothelial cell; hcec; endothelial cells; na(+)/k(+)-atpase; zo-1; hexagonal; in vivo; transplantation; surgery,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0379,33448808,"Ultrathin, Strong, and Cell-Adhesive Agarose-Based Membranes Engineered as Substrates for Corneal Endothelial Cells.","We aimed to bioengineer a scaffold that can facilitate the transplantation of corneal endothelial cells (CEC), given the global shortage of cadaveric donor tissues. Although agarose (A) has outstanding biocompatibility and mechanical properties, it natively does not permit cell adhesion. In this study, agarose was modified with different attachment signals: GRGD (giving AR as product), lysine (AK), poly lysine (AP), and fish-derived gelatin (AG). Samples with varying conjugation ratios were prepared. All products formed bulk hydrogels, which were then collapsed into ultrathin membranes in a controlled environment. Membranes were evaluated for their ability to support attachment of various cell types. Cells, however, preferred the AG series of membrane. Notably, primary rabbit CEC remained attached and viable for ⩾4 weeks. The cells also stained positive for CD166, ZO-1 and Na(+)/K(+) ATPase, indicative of function. The hydrated AG membranes allowed >96% transmittance of visible light. The membranes were typically ∼15 μm thick and did not swell significantly after immersion in PBS. Tensile strength was 49-60 MPa, while young's modulus was 525-596 MPa. This membrane thus offers great promise as a scaffold for CEC during endothelial keratoplasty.",2019,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b00610,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,scaffold; substrate; membrane; corneal endothelial cell; endothelial cells; zo-1; rabbit; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0588,36080636,Customizable Collagen Vitrigel Membranes and Preliminary Results in Corneal Engineering.,"Corneal opacities are a leading cause of visual impairment that affect 4.2 million people annually. The current treatment is corneal transplantation, which is limited by tissue donor shortages. Corneal engineering aims to develop membranes that function as scaffolds in corneal cell transplantation. Here, we describe a method for producing transplantable corneal constructs based on a collagen vitrigel (CVM) membrane and corneal endothelial cells (CECs). The CVMs were produced using increasing volumes of collagen type I: 1X (2.8 μL/mm(2)), 2X, and 3X. The vitrification process was performed at 40% relative humidity (RH) and 40 °C using a matryoshka-like system consisting of a shaking-oven harboring a desiccator with a saturated K(2)CO(3) solution. The CVMs were characterized via SEM microscopy, cell adherence, FTIR, and manipulation in an ex vivo model. A pilot transplantation of the CECs/CVM construct in rabbits was also carried out. The thickness of the CVMs was 3.65-7.2 µm. The transparency was superior to a human cornea (92.6% = 1X; 94% = 2X; 89.21% = 3X). SEM microscopy showed a homogenous surface and laminar organization. The cell concentration seeded over the CVM increased threefold with no significant difference between 1X, 2X, and 3X (p = 0.323). The 2X-CVM was suitable for surgical manipulation in the ex vivo model. Constructs using the CECs/2X-CVM promoted corneal transparency restoration.",2022,Polymers,10.3390/polym14173556,D3_full_thickness_multilayer,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,scaffold; membrane; corneal endothelial cell; endothelial cells; transparency; rabbit; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0761,38486306,Bioprinting of human pluripotent stem cell derived corneal endothelial cells with hydrazone crosslinked hyaluronic acid bioink.,"BACKGROUND: Human corneal endothelial cells lack regenerative capacity through cell division in vivo. Consequently, in the case of trauma or dystrophy, the only available treatment modality is corneal tissue or primary corneal endothelial cell transplantation from cadaveric donor which faces a high global shortage. Our ultimate goal is to use the state-of-the-art 3D-bioprint technology for automated production of human partial and full-thickness corneal tissues using human stem cells and functional bioinks. In this study, we explore the feasibility of bioprinting the corneal endothelium using human pluripotent stem cell derived corneal endothelial cells and hydrazone crosslinked hyaluronic acid bioink. METHODS: Corneal endothelial cells differentiated from human pluripotent stem cells were bioprinted using optimized hydrazone crosslinked hyaluronic acid based bioink. Before the bioprinting process, the biocompatibility of the bioink with cells was first analyzed with transplantation on ex vivo denuded rat and porcine corneas as well as on denuded human Descemet membrane. Subsequently, the bioprinting was proceeded and the viability of human pluripotent stem cell derived corneal endothelial cells were verified with live/dead stainings. Histological and immunofluorescence stainings involving ZO1, Na(+)/K(+)-ATPase and CD166 were used to confirm corneal endothelial cell phenotype in all experiments. Additionally, STEM121 marker was used to identify human cells from the ex vivo rat and porcine corneas. RESULTS: The bioink, modified for human pluripotent stem cell derived corneal endothelial cells successfully supported both the viability and printability of the cells. Following up to 10 days of ex vivo transplantations, STEM121 positive cells were confirmed on the Descemet membrane of rat and porcine cornea demonstrating the biocompatibility of the bioink. Furthermore, biocompatibility was validated on denuded human Descemet membrane showing corneal endothelial -like characteristics. Seven days post bioprinting, the corneal endothelial -like cells were viable and showed polygonal morphology with expression and native-like localization of ZO-1, Na(+)/K(+)-ATPase and CD166. However, mesenchymal-like cells were observed in certain areas of the cultures, spreading beneath the corneal endothelial-like cell layer. CONCLUSIONS: Our results demonstrate the successful printing of human pluripotent stem cell derived corneal endothelial cells using covalently crosslinked hyaluronic acid bioink. This approach not only holds promise for a corneal endothelium transplants but also presents potential applications in the broader mission of bioprinting the full-thickness human cornea.",2024,Stem cell research & therapy,10.1186/s13287-024-03672-w,C4_endothelium;D3_full_thickness_multilayer,2,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,,,,,,,,,,,18,clinical/translational evidence; in vivo evidence; ex vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; layer-balancing priority,yes,yes,yes,yes,yes,no,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,yes
PUBMED_0021,29281419,Electro-spun Membranes as Scaffolds for Human Corneal Endothelial Cells.,"BACKGROUND: Corneal endothelial dysfunction remains the most frequent indication for corneal transplantation, limited by donor material shortage, poor long-term graft survival, or allogeneic graft rejection. Therefore, tissue-engineered endothelial grafts (TEEG) represent a promising alternative to human donor tissue. In this study, we generated electro-spun scaffolds and tested these for their suitability for human corneal endothelial cell (hCEC) cultivation. METHODS: The polymers poly(methyl-methacrylate) (PMMA), poly(lactic-co-glycolic acid) (PLGA), and polycaprolactone (PCL) were spun with equal parameters. HCEC-12 was cultured on the scaffolds for 3 to 7 days. Scaffolds were evaluated by light microscopy, porometry, light transmission, scanning electron microscopy (SEM), live/dead staining and cell viability assay. RESULTS: Electro-spun fibers from PMMA (2.99 ± 0.24 µm) showed significantly higher diameters than PCL (2.29 ± 0.11 µm; p = 0.003) and PLGA (1.84 ± 0.21 µm; p < 0.001), while fibers from PCL also showed larger diameters than those from PLGA (p = 0.002). PMMA scaffolds (26.77 ± 17.48 µm) had significantly larger interstitial spaces than those from PCL (13.30 ± 5.47 µm; p = 0.04) and PLGA (10.42 ± 6.15 µm; p = 0.002), while PCL and PLGA did not differ significantly (p = 0.26). SEM analysis revealed that only PLGA fibers preserved a normal HCEC-12 morphology. PLGA and PCL did not differ in cell number, death, or viability after 7 days of HCEC-12 cultivation. PMMA showed significantly higher cytotoxicity (p < 0.001; PLGA: 1626.2 ± 183.8 RLU; PMMA: 841.9 ± 92.7 RLU; PCL: 1580.2 ± 171.02 RLU). CONCLUSIONS: The biodegradable PLGA and PCL electro-spun scaffolds resulted in equal biocompatibility, while PMMA showed cytotoxicity. Only PLGA preserved hCEC morphology and consequently seems to be a promising candidate for TEEG construction.",2018,Current eye research,10.1080/02713683.2017.1377258,D3_full_thickness_multilayer,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,3,scaffold; membrane; corneal endothelial cell; hcec; endothelial cells; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0382,33463278,Fish-Scale Collagen Membrane Seeded with Corneal Endothelial Cells as Alternative Graft for Endothelial Keratoplasty Transplantation.,"The human corneal endothelium has limited regeneration capacity. Several methods have been developed in an attempt to repair it. Descemet stripping automated endothelial keratoplasty (DSAEK) is commonly performed on patients with endothelial dysfunction. However, donor demand far exceeds donor supply. Here, we prepared fish-scale collagen membrane (FSCM) and seeded it with CECs in preparation for corneal endothelial transplantation. The fish scales were decellularized, decalcified, and curved. The FSCM was inspected by fluorescence microscopy, SEM, and TGA to validate decellularization, microstructure, and decalcification, respectively. The cytotoxicity of FSCM and the viability of the cells in contact with it were evaluated by LDH and WST-1, respectively. CEC tight junctions and ZO-1 structure were observed by SEM and confocal microscopy. FSCM seeded with CECs were implanted to rabbit anterior chambers to evaluate host tissue reactions to it. FSCM biocompatibility and durability were also assessed. The results showed that FSCM has excellent transparency, adequate water content, and good biocompatibility. The cultivated CECs mounted on the FSCM were similar to normal CECs in vivo. The FSCM plus CECs developed here have high potential efficacy for endothelial keratoplasty transplantation.",2020,ACS biomaterials science & engineering,10.1021/acsbiomaterials.9b00562,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,membrane; descemet; dsaek; corneal endothelial cell; endothelial cells; cultivated; zo-1; transparency; rabbit; in vivo; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
PUBMED_0421,33939123,Potential of a novel scaffold composed of human platelet lysate and fibrin for human corneal endothelial cells.,"Cell-based therapies have been emerged to find innovative solutions for corneal endothelial dysfunction. The aim of this study is to investigate the suitability of a blended scaffold containing human platelet lysate (HPL) and fibrin not only for cultivating human corneal endothelial cells (HCECs) but also for serving as a scaffold for the respected cells. We isolated HCECs from human donors and encapsulated the cells with three concentrations of HPL/Fibrin scaffold, namely HPL/Fibrin 1, HPL/Fibrin 2 and HPL/Fibrin 3, by adding 28.9, 57.8 and 86.7 mg/dl of fibrinogen to HPL to obtain a final percentage of 10, 20 and 30 % of fibrinogen, respectively. SEM imaging and swelling test were done to characterize the scaffolds. Cell viability assay and cell counting were performed on the cells. HCECs were characterized by morphology and immunocytochemistry. SEM imaging on freeze-dried scaffolds showed higher porosity of HPL/Fibrin 1 and HPL/Fibrin 2 than HPL/Fibrin 3, but larger pores were observed only in HPL/Fibrin 1. Cellular attachment and morphology on HPL/Fibrin 1 were appropriate by SEM imaging. A higher swelling rate was observed in HPL/Fibrin 1. After 3 and 5 days, higher numbers of cells were observed specifically in HPL/Fibrin 1. A higher expression of Na+/K+-ATPase, ZO-1 and vimentin proteins was detected in the HPL/Fibrin 1-cultured HCECs as compared with control (no scaffold). HPL/Fibrin can be used as a suitable scaffold for HCECs while preserving the cells viability. Further investigations are necessitated to approve the beneficial effects of the suggested scaffold for delivering and transplantation of cultivated HCECs into the anterior chamber of the eye.",2022,Cell and tissue banking,10.1007/s10561-021-09931-x,C4_endothelium,1,Include,,endothelium,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",,Added endothelial core from medium-priority screen,4,scaffold; corneal endothelial cell; hcec; endothelial cells; zo-1; transplantation,Add to core candidate,Add to endothelial core,Clear endothelial tissue-engineering biomaterial/carrier/scaffold signal with functional or translational relevance.,,,,,,,,,,17,clinical/translational evidence; in vivo evidence; clear biomaterial/scaffold/carrier signal; benchmarking metrics likely; reconstruction/regeneration relevance; layer-balancing priority,yes,yes,no,yes,yes,yes,Priority 1 - strict retrieval shortlist,endothelium,label_ok,yes,no,no,no
