screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0001,27860426,"Human corneal fibroblast migration and extracellular matrix synthesis during stromal repair: Role played by platelet-derived growth factor-BB, basic fibroblast growth factor, and transforming growth factor-β1.","The development of treatments that modulate corneal wound healing to avoid fibrosis during tissue repair is important for the restoration of corneal transparency after an injury. To date, few studies have studied the influence of growth factors (GFs) on human corneal fibroblast (HCF) expression of extracellular matrix (ECM) proteins such as collagen types I and III, proteoglycans such as perlecan, or proteins implicated in cellular migration such as α5β1-integrin and syndecan-4. Using in vitro HCFs, a mechanical wound model was developed to study the influence of the GFs basic fibroblast GF (bFGF), platelet-derived GF (PDGF-BB) and transforming GF-β1 (TGFβ1) on ECM protein production and cellular migration. Our results show that mechanical wounding provokes the autocrine release of bFGF and TGFβ1 at different time points during the wound closure. The HCF response to PDGF-BB was a rapid closure due to fast cellular migration associated with a high focal adhesion replacement and a high expression of collagen and proteoglycans, producing nonfibrotic healing. bFGF stimulated nonfibrotic ECM production and limited the migration process. Finally, TGFβ1 induced expression of the fibrotic markers collagen type III and α5β1 integrin, and it inhibited cellular migration due to the formation of focal adhesions with a low turnover rate. The novel in vitro HCF mechanical wound model can be used to understand the role played by GFs in human corneal repair. The model can also be used to test the effects of different treatments aimed at improving the healing process. Copyright © 2016 John Wiley & Sons, Ltd.",2018,Journal of tissue engineering and regenerative medicine,10.1002/term.2360,B3_stroma,1,Uncertain,,stroma,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0006,28780705,A viscoelastic anisotropic hyperelastic constitutive model of the human cornea.,"A constitutive model based on the continuum mechanics theory has been developed which represents interlamellar cohesion, regional variation of collagen fibril density, 3D anisotropy and both age-related viscoelastic and hyperelastic stiffening behaviour of the human cornea. Experimental data gathered from a number of previous studies on 48 ex vivo human cornea (inflation and shear tests) enabled calibration of the constitutive model by numerical analysis. Wide-angle X-ray scattering and electron microscopy provided measured data which quantify microstructural arrangements associated with stiffness. The present study measures stiffness parallel to the lamellae of the cornea which approximately doubles with an increase in strain rate from 0.5 to 5%/min, while the underlying stromal matrix provides a stiffness 2-3 orders of magnitude lower than the lamellae. The model has been simultaneously calibrated to within 3% error across three age groups ranging from 50 to 95 years and three strain rates across the two loading scenarios. Age and strain-rate-dependent material coefficients allow numerical simulation under varying loading scenarios for an individual patient with material stiffness approximated by their age. This present study addresses a significant gap in numerical representation of the cornea and has great potential in daily clinical practice for the planning and optimisation of corrective procedures and in preclinical optimisation of diagnostic procedures.",2018,Biomechanics and modeling in mechanobiology,10.1007/s10237-017-0942-2,B3_stroma,1,Uncertain,,stroma,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0011,29043524,Improving the success rate of human corneal endothelial cell cultures from single donor corneas with stabilization medium.,"Main objective of this study was to improve the success rate of human corneal endothelial cell (hCEC) cultures from single donor corneas. We could show that the use of stabilization medium prior to cell isolation may have a positive effect on the success rate of hCEC cultures from single research-grade donor corneas by allowing growth of otherwise possibly not successful cultures and by improving their proliferative rate. hCEC were obtained from corneo-scleral rims of 7 discarded human research-grade cornea pairs. The Descemet membrane-endothelium (DM-EC) sheets of each pair were assigned to 2 experimental conditions: (1) immediate cell isolation after peeling, and (2) storage of the DM-EC sheet in a growth factor-depleted culture medium (i.e. stabilization medium) for up to 6 days prior to cell isolation. hCEC isolated by enzymatic digestion were then induced to proliferate on pre-coated culture plates. The success rate of primary cultures established from single donor corneas were higher for DM-EC sheets kept in stabilization medium before cell isolation. All cultures (7/7) initiated from stabilized DM-EC sheets were able to proliferate up to the third passage, while only 4 out of 7 cultures initiated from freshly peeled DM-EC sheets reached the third passage. In addition, for the 4 successful paired cultures we observed a faster growth rate if the DM-EC sheet was pre-stabilized prior to cell isolation (13.8 ± 1.8 vs 18.5 ± 1.5 days, P < 0.05). Expression of the phenotypical markers Na(+)/K(+)-ATPase and ZO-1 could be shown for the stabilized cultures that successfully proliferated up to the third passage.",2018,Cell and tissue banking,10.1007/s10561-017-9665-y,C4_endothelium,1,Uncertain,,endothelium,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0019,29208552,Controlling human corneal stromal stem cell contraction to mediate rapid cell and matrix organization of real architecture for 3-dimensional tissue equivalents.,"The architecture of the human corneal stroma consists of a highly organized extracellular matrix (ECM) interspersed with keratocytes. Their progenitor cells; corneal stromal stem cells (CSSC) are located at the periphery, in the limbal stroma. A highly organized corneal ECM is critical for effective transmission of light but this structure may be compromised during injury or disease, resulting in loss of vision. Re-creating normal organization in engineered tissue equivalents for transplantation often involves lengthy culture times that are inappropriate for clinical use or utilisation of synthetic substrates that bring complications such as corneal melting. CSSC have great therapeutic potential owing to their ability to reorganize a disorganized matrix, restoring transparency in scarred corneas. We examined CSSC contractile behavior to assess whether this property could be exploited to rapidly generate cell and ECM organization in Real Architecture For 3D Tissues (RAFT) tissue equivalents (TE) for transplantation. Free-floating collagen gels were characterized to assess contractile behavior of CSSC and establish optimum cell density and culture times. To mediate cell and collagen organization, tethered collagen gels seeded with CSSC were cultured and subsequently stabilized with the RAFT process. We demonstrated rapid creation of biomimetic RAFT TE with tunable structural properties. These displayed three distinct regions of varying degrees of cellular and collagen organization. Interestingly, increased organization coincided with a dramatic loss of PAX6 expression in CSSC, indicating rapid differentiation into keratocytes. The organized RAFT TE system could be a useful bioengineering tool to rapidly create an organized ECM while simultaneously controlling cell phenotype. STATEMENT OF SIGNIFICANCE: For the first time, we have demonstrated that human CSSC exhibit the phenomenon of cellular self-alignment in tethered collagen gels. We found this mediated rapid co-alignment of collagen fibrils and thus subsequently exploited this property in vitro to improve the architecture of engineered RAFT tissue equivalents of the corneal stroma. Existing techniques are extremely lengthy and carry significant risk and cost for GMP manufacture. This rapid and tunable technique takes just 8 h of culture and is therefore ideal for clinical manufacture, creating biomimetic tissue equivalents with both cellular and ECM organization. Thus, cellular self-alignment can be a useful bioengineering tool for the development of organized tissue equivalents in a variety of applications.",2018,Acta biomaterialia,10.1016/j.actbio.2017.11.047,B3_stroma,1,Uncertain,,multiple_layers,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0020,29260410,Suprachoroidal drainage with collagen sheet implant- a novel technique for non-penetrating glaucoma surgery.,"PURPOSE: Our purpose was both to introduce the new technique of suprachoroidal drainage with collagen sheet implantation as a novel technique of non-penetrating glaucoma surgery and to present first results of a prospective pilot study. METHODS: A superficial rectangular sclera flap of half-scleral thickness sized 4 × 4.5 mm is dissected anteriorly until clear cornea. Then, a second scleral flap is created underneath the first one sized 3.5x4mm and is cut down full-thickness to the choroid exposing the suprachoroidal space. The flap is then bluntly prepared until the scleral spur is reached. Sharp dissection above the sclera spur exposes Schlemm's canal, which is located directly anteriorly. Schlemm's canal is unroofed, juxtacanalicular meshwork is peeled and the deep flap is cut off at its base. An absorbable collagen sheet (Ologen®, Dahlhausen, Cologne, Germany) is placed into the suprachoroidal space at the level of the ciliary body, and the superficial sclera flap is sutured tightly to prevent leakage. RESULTS: We prospectively analyzed 65 eyes that underwent suprachoroidal drainage with collagen sheet implantation. Mean reduction of intraocular pressure after 3 months was 35.1% (from 21.0 ± 4.3 mmHg to 13.5 ± 3.4 mmHg)(p < 0.01) and after 12 months 35.6% (from 21.0 ± 4.3 mmHg to 13.5 ± 3.0 mmHg)(p < 0.01). The number of topical IOP-reducing medication decreased significantly from 3.5 ± 0.7 to 0.6 ± 0.9 and to 0.9 ± 1.1 after 3 and 12 months, respectively (p < 0.01). No serious complications occurred. CONCLUSION: Suprachoroidal drainage with collagen sheet implantation seems to be a safe and effective surgical technique for non-penetrating glaucoma surgery that yields the opportunity of a sufficient IOP reduction for eyes unsuitable for canaloplasty.",2018,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,10.1007/s00417-017-3873-9,D3_full_thickness_multilayer,1,Uncertain,,full_thickness_multilayer,Low,Corrected uncertain: insufficient title/abstract evidence for confident inclusion or exclusion.
PUBMED_0022,29294389,NQO1 downregulation potentiates menadione-induced endothelial-mesenchymal transition during rosette formation in Fuchs endothelial corneal dystrophy.,"Fuchs endothelial corneal dystrophy (FECD) is a genetic and oxidative stress disorder of post-mitotic human corneal endothelial cells (HCEnCs), which normally exhibit hexagonal shape and form a compact monolayer compatible with normal corneal functioning and clear vision. FECD is associated with increased DNA damage, which in turn leads to HCEnC loss, resulting in the formation rosettes and aberrant extracellular matrix (ECM) deposition in the form of pro-fibrotic guttae. Since the mechanism of ECM deposition in FECD is currently unknown, we aimed to investigate the role of endothelial-mesenchymal transition (EMT) in FECD using a previously established cellular in vitro model that recapitulates the characteristic rosette formation, by employing menadione (MN)-induced oxidative stress. We demonstrate that MN treatment alone, or a combination of MN and TGF-β1 induces reactive oxygen species (ROS), cell death, and EMT in HCEnCs during rosette formation, resulting in upregulation of EMT- and FECD-associated markers such as Snail1, N-cadherin, ZEB1, and transforming growth factor-beta-induced (TGFβI), respectively. Additionally, FECD ex vivo specimens displayed a loss of organized junctional staining of plasma membrane-bound N-cadherin, with corresponding increase in fibronectin and Snail1 compared to ex vivo controls. Addition of N-acetylcysteine (NAC) downregulated all EMT markers and abolished rosette formation. Loss of NQO1, a metabolizing enzyme of MN, led to greater increase in intracellular ROS levels as well as a significant upregulation of Snail1, fibronectin, and N-cadherin compared to normal cells, indicating that NQO1 regulates Snail1-mediated EMT. This study provides first line evidence that MN-induced oxidative stress leads to EMT in corneal endothelial cells, and the effect of which is further potentiated when redox cycling activity of MN is enhanced by the absence of NQO1. Given that NAC inhibits Snail-mediated EMT, this may be a potential therapeutic intervention for FECD.",2018,Free radical biology & medicine,10.1016/j.freeradbiomed.2017.12.036,C4_endothelium,1,Uncertain,,endothelium,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0025,29327391,Molecular phenotype of SLC4A11 missense mutants: Setting the stage for personalized medicine in corneal dystrophies.,"SLC4A11 mutations cause cases of congenital hereditary endothelial dystrophy (CHED), Harboyan syndrome (HS), and Fuchs endothelial corneal dystrophy (FECD). Defective water reabsorption from corneal stroma by corneal endothelial cells (CECs) leads to these corneal dystrophies. SLC4A11, in the CEC basolateral membrane, facilitates transmembrane movement of H(2) O, NH(3) , and H(+) -equivalents. Some SLC4A11 disease mutants have impaired folding, leading to a failure to move to the cell surface, which in some cases can be corrected by the drug, glafenine. To identify SLC4A11 mutants that are targets for folding-correction therapy, we examined 54 SLC4A11 missense mutants. Cell-surface trafficking was assessed on immunoblots, by the level of mature, high molecular weight, cell surface-associated form, and using a bioluminescence resonance energy transfer assay. Low level of cell surface trafficking was found in four out of 18 (20%) of FECD mutants, 19/ out of 31 (61%) of CHED mutants, and three out of five (60%) of HS mutants. Amongst ER-retained mutants, 16 showed increased plasma membrane trafficking when grown at 30°C, suggesting that their defect has potential for rescue. CHED-causing point mutations mostly resulted in folding defects, whereas the majority of FECD missense mutations did not affect trafficking, implying functional impairment. We identified mutations that make patients candidates for folding correction of their corneal dystrophy.",2018,Human mutation,10.1002/humu.23401,C4_endothelium,1,Uncertain,,stroma,Low,Corrected uncertain: insufficient title/abstract evidence for confident inclusion or exclusion.
PUBMED_0026,29338061,Feasibility of cell-based therapy combined with descemetorhexis for treating Fuchs endothelial corneal dystrophy in rabbit model.,"Corneal transparency is maintained by the corneal endothelium through its pump and barrier function. Severe corneal endothelial damage results in dysregulation of water flow and eventually causes corneal haziness and deterioration of visual function. In 2013, we initiated clinical research of cell-based therapy for treating corneal decompensation. In that study, we removed an 8-mm diameter section of damaged corneal endothelium without removing Descemet's membrane (the basement membrane of the corneal endothelium) and then injected cultured human corneal endothelial cells (CECs) into the anterior chamber. However, Descemet's membrane exhibits clinically abnormal structural features [i.e., multiple collagenous excrescences (guttae) and thickening] in patients with Fuchs endothelial corneal dystrophy (FECD) and the advanced cornea guttae adversely affects the quality of vision, even in patients without corneal edema. The turnover time of cornea guttae is also not certain. Therefore, we used a rabbit model to evaluate the feasibility of Descemet's membrane removal in the optical zone only, by performing a small 4-mm diameter descemetorhexis prior to CEC injection. We showed that the corneal endothelium is regenerated both on the corneal stroma (the area of Descemet's membrane removal) and on the intact peripheral Descemet's membrane, based on the expression of function-related markers and the restoration of corneal transparency. Recovery of the corneal transparency and central corneal thickness was delayed in areas of Descemet's membrane removal, but the cell density of the regenerated corneal endothelium and the thickness of the central corneal did not differ between the areas with and without residual Descemet's membrane at 14 days after CEC injection. Here, we demonstrate that removal of a pathological Descemet's membrane by a small descemetorhexis is a feasible procedure for use in combination with cell-based therapy. The current strategy might be beneficial for improving visual quality after CEC injection as a treatment for FECD.",2018,PloS one,10.1371/journal.pone.0191306,C4_endothelium,1,Uncertain,,stroma,Low,Corrected uncertain: insufficient title/abstract evidence for confident inclusion or exclusion.
PUBMED_0028,29359095,Quantization of collagen organization in the stroma with a new order coefficient.,"Many optical and biomechanical properties of the cornea, specifically the transparency of the stroma and its stiffness, can be traced to the degree of order and direction of the constituent collagen fibers. To measure the degree of order inside the cornea, a new metric, the order coefficient, was introduced to quantify the organization of the collagen fibers from images of the stroma produced with a custom-developed second harmonic generation microscope. The order coefficient method gave a quantitative assessment of the differences in stromal collagen arrangement across the cornea depths and between untreated stroma and cross-linked stroma.",2018,Biomedical optics express,10.1364/BOE.9.000173,B3_stroma,1,Uncertain,,stroma,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
PUBMED_0035,29453401,Endothelial smoothened-dependent hedgehog signaling is not required for sonic hedgehog induced angiogenesis or ischemic tissue repair.,"Sonic Hedgehog (Shh) signaling induces neovascularization and angiogenesis. It is not known whether the hedgehog signaling pathway in endothelial cells is essential to angiogenesis. Smoothened (Smo) transduces hedgehog signaling across the cell membrane. This study assessed whether endothelial Smoothened-dependent Shh signaling is required for Shh-mediated angiogenesis and ischemic tissue repair. Endothelial-specific smoothened knockout mice, eSmo(Null) were created using Cre-lox recombination system. eSmo(Null) mice had no observable phenotype at baseline and showed normal cardiac function. Smoothened in CD31+ cells isolated from eSmo(Null) hearts was significantly reduced compared to CD31+ cells from eSmo(WT) littermate control hearts. Fluorescence immunostaining of eSmo(Null) heart sections showed Smo expression in endothelial cells was abolished. The hind-limb ischemia (HLI) model was used to assess the response to ischemic injury. Perfusion ratio, limb motor function, and limb necrosis were not significantly different after HLI between eSmo(Null) mice and eSmo(WT). Capillary densities in the ischemic limb in eSmo(Null) mice were also similar to eSmo(WT) at 4 weeks after HLI. Next, response to exogenous Shh was assessed in the corneal angiogenesis model. There was no significant difference in corneal angiogenesis induced by administration of Shh pellets between eSmo(WT) and eSmo(Null) mice. Furthermore, in vitro experiments demonstrated that direct Shh had limited effects on endothelial cell proliferation and migration. However, conditioned media from Shh-treated fibroblasts had a more potent effect on endothelial cell proliferation and migration than non-treated conditioned media. Furthermore, Shh treatment of fibroblasts dramatically stimulated angiogenic growth factor expression, including PDGF-B, VEGF-A, HGF and IGF. PDGF-B was the most upregulated and may contribute to the large neo-vessels associated with Shh-induced angiogenesis. Taken together, these data demonstrate that Shh signaling via Smoothened in endothelial cells is not required for angiogenesis and ischemic tissue repair. Shh signaling via stromal cells likely mediates its angiogenic effects.",2018,Laboratory investigation; a journal of technical methods and pathology,10.1038/s41374-018-0028-5,C4_endothelium,1,Uncertain,,stroma,Low,"Corrected uncertain: may support biological, optical, or mechanical benchmarking background, but not clearly a tissue-engineered material or construct."
