screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,epithelium_limbus_relevance_score,epithelium_limbus_relevance_terms,recommended_action,strict_epithelium_limbus_decision,strict_epithelium_limbus_reason,top_tier_score,top_tier_reason,top_tier_decision
PUBMED_0030,29392398,Generation and characterisation of decellularised human corneal limbus.,"PURPOSE: Limbal epithelial stem cells (LESC) reside in a niche in the corneo-scleral transition zone. Deficiency leads to pain, corneal opacity, and eventually blindness. LESC transplantation of ex-vivo expanded human LESC on a carrier such as human amniotic membrane is a current treatment option. We evaluated decellularised human limbus (DHL) as a potential carrier matrix for the transplantation of LESC. METHODS: Human corneas were obtained from the local eye bank. The limbal tissue was decellularised by sodium desoxychelate and DNase solution and sterilised by γ-irradiation. Native limbus- and DHL-surface structures were assessed by scanning electron microscopy and collagen ultrastructure using transmission electron microscopy. Presence and preservation of limbal basement membrane proteins in native limbus and DHL were analysed immunohistochemically. Absence of DNA after decellularisation was assessed by Feulgen staining and DNA quantification. Presence of immune cells was explored by CD45 staining, and potential cytotoxicity was tested using a cell viability assay. RESULTS: In the DHL, the DNA content was reduced from 1.5 ± 0.3 μg/mg to 0.15 ± 0.01 μg/mg; the three-dimensional structure and the arrangement of the collagen fibrils were preserved. Main basement membrane proteins such as collagen IV, laminin, and fibronectin were still present after decellularisation and γ-irradiation. CD45-expressing cells were evident neither in the native limbus nor in the DHL. DHL did not convey cytotoxicity. CONCLUSIONS: The extracellular matrix (ECM) of the limbus provides a tissue specific morphology and three-dimensionality consisting of particular ECM proteins. It therefore represents a substantial component of the stem cell niche. The DHL provides a specific limbal niche surrounding, and might serve as an easily producible carrier matrix for LESC transplantation.",2018,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,10.1007/s00417-018-3904-1,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",4,carrier; membrane; amniotic membrane; limbal; lesc; cell viability; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0213,31652804,A Hyaluronan Hydrogel Scaffold for Culture of Human Oral Mucosal Epithelial Cells in Limbal Stem-Cell Therapy.,"Hyaluronan (HA), a major component of the extracellular matrix, plays a key role in cell proliferation, growth, survival, polarization and differentiation. We investigated the optimization of a HA hydrogel scaffold for culture of human oral mucosal epithelial cells (OMECs) for potential application in limbal stem cell therapy. The effect of the optimized scaffold on OMEC cell sheet morphology, cell metabolic activity and expression of genes associated with stemness, adherence and cell damage was studied. The results indicate that HA hydrogels crosslinked with polyethylene glycol diacrylate (PEGDA) failed to support OMEC attachment and growth. However, HA hydrogel scaffolds dried for three days and coated with 1 mg/mL collagen IV produced a full OMEC sheet. Cell morphology was comparable to control after three weeks culture, maintaining 76% metabolic activity. Of apoptosis-related genes, the pro-apoptotic markers CASP3 and BAX2 were upregulated and downregulated, respectively, compared to control whereas the anti-apoptotic marker BCL2 was downregulated. The expression level of stemness genes ΔNp63α and ABCG2 was significantly higher than control. Genes associated with improved scar-less wound healing (integrin-V) and protection of the ocular surface (cadherin-1) had ~3-fold increased expression. These data suggest that our optimized HA-hydrogel scaffold could enhance culture of OMEC cell sheets for use in ocular reconstruction.",2019,"Bioengineering (Basel, Switzerland)",10.3390/bioengineering6040097,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; sheet; hydrogel; limbal; limbal stem; ocular surface; wound healing; p63; abcg2; rat,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0286,32518325,"Cell jamming, stratification and p63 expression in cultivated human corneal epithelial cell sheets.","Corneal limbal epithelial stem cell transplantation using cultivated human corneal epithelial cell sheets has been used successfully to treat limbal stem cell deficiencies. Here we report an investigation into the quality of cultivated human corneal epithelial cell sheets using time-lapse imaging of the cell culture process every 20 minutes over 14 days to ascertain the level of cell jamming, a phenomenon in which cells become smaller, more rounded and less actively expansive. In parallel, we also assessed the expression of p63, an important corneal epithelial stem cell marker. The occurrence of cell jamming was variable and transient, but was invariably associated with a thickening and stratification of the cell sheet. p63 was present in all expanding cell sheets in the first 9 days of culture, but it's presence did not always correlate with stratification of the cell sheet. Nor did p63 expression necessarily persist in stratified cell sheets. An assessment of cell jamming, therefore, can shed significant light on the quality and regenerative potential of cultivated human corneal epithelial cell sheets.",2020,Scientific reports,10.1038/s41598-020-64394-6,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,sheet; corneal epithelial; limbal; limbal stem; stratification; p63; rat; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0385,33530972,Biobanked human foreskin epithelial cell sheets reduce inflammation and promote wound healing in a nude mouse model.,"BACKGROUND: Human epithelial cell sheets (ECSs) are used to clinically treat epithelial conditions such as burns, corneal blindness, middle ear cholesteatoma and vitiligo. As a widely used material in clinic, there is little information on the biobanking of ECSs and its repair effect after storage. RESULTS: Two methods for biobanking foreskin ECSs were compared in a short term (7 days): 4-degree storage and programmed cryopreservation. Cell sheet integrity, viability, apoptosis, immunogenicity, mechanical properties and function were evaluated. In vivo, ECSs were directly transplanted to skin defect models and histological examination was performed at 1 week postoperatively. We successfully extracted human foreskin-derived primary epithelial cells and fabricated them into ECSs. Compared with 4-degree storage, programmed cryopreservation preserved the ECS structural integrity, enhanced the mechanical properties, decreased HLA-I expression, and increased cell viability and survival. An increased proportion of melanocytes with proliferative capacity remained in the cryopreserved sheets, and the undifferentiated epithelial cells were comparable to those of the fresh sheets. In vivo, cryopreserved ECSs could reduce inflammatory cell infiltration and promote connective tissue remodeling, epithelial cell proliferation and vascular regeneration. CONCLUSIONS: Programmed cryopreservation of ECSs was superior and more feasible than 4-degree storage and the cryopreserved ECSs achieved satisfying skin wound healing in vivo. We anticipate that the off-the-shelf ECSs could be quickly used, such as, to repair human epithelial defect in future.",2021,BMC biotechnology,10.1186/s12896-021-00672-z,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,sheet; epithelial cell; wound healing; cell viability; rat; mouse; in vivo,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,cell-sheet/cultivated epithelial construct present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0579,35986035,Limbal epithelial stem cell sheets from young donors have better regenerative potential.,"To investigate the stemness of limbal epithelial stem cell sheets in relation to the donor's age. Human limbal explants from cadaveric donors were set on human amniotic membrane scaffolds with the xeno-free medium. We evaluated limbal epithelial sheet size, expression of stem/progenitor cell markers, and colony formation efficiency from donors of different age groups (age ≤ 45, age 45-65, and age > 65). Expression of the proliferation marker Ki67, stem/progenitor cell markers p63α and ABCG2, cornea specific marker PANCK, and differentiation marker CK12 were evaluated. To determine the effect of donor age on the storage period of limbal explant sheets, the limbal explant outgrowth sheets were stored in 4 °C for 2 days and analyzed for JC-1, p63α, and PANCK with FACS on each day. From days 6 to 12, the outgrowth area of the limbal epithelial stem cell sheet was significantly larger in the age ≤ 45 groups (296 ± 54.7 mm(2), day 9) compared to the other two age groups [age 45-65 group (278 ± 62.6 mm(2)), age > 65 group (257 ± 44.0 mm(2)), day 9] (p < 0.01). In terms of stemness, outgrowth cells from aged donors (age > 65) showed lower expression of stem/progenitor cell markers p63α and ABCG2 and decreased CFE compared to the other two groups. There were significantly more p63α+ cells in outgrowth cells in the age ≤ 45 group (18.2 ± 3.6%) compared to the age > 65 group (14.1 ± 4.6%; p < 0.01). Limbal explant outgrowth sheet on the age ≤ 45 group (32.7 ± 7.5%) had higher percentages of cells resisting staining by JC-1 compared with sheets under the age > 65 groups (25.7 ± 7.1%, p < 0.01) (JC-1(low)). Cells from the age ≤ 45 group showed a higher clonogenic capacity than those from the other two age groups (45 < Age ≤ 65 CFE ratio = 0.7 ± 0.16, p < 0.01; 65 < Age CFE ratio = 0.3 ± 0.06, p < 0.01, vs. Age ≤ 45). In the age > 65 group, positive cells of p63α on D0, 1, and 2 were significantly lower compared to those in the age ≤ 45 group on the storage period (p < 0.01, respectively). Our results imply that donors younger than 65 years of age are a better source of limbal epithelial stem cell sheet generation with high regeneration potential.",2022,Scientific reports,10.1038/s41598-022-17821-9,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; membrane; sheet; limbal; p63; k12; abcg2; rat,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; cell-sheet/cultivated epithelial construct present; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0638,36852699,Engraftment and Proliferation of Thermoreversible-Gelation-Polymer-Encapsulated Human Corneal Limbal-Stem-Cells on Ocular Surface of a Cadaver Cornea.,"PURPOSE: Corneal limbal stem cell (LSC) transplantation has been reported as a potential approach to treat the damaged corneal epithelium. Scaffolds such as human amniotic membrane (hAM) are commonly employed for the in vitro culture and as a carrier during in vivo transplantation. However, they carry the risk of biological contamination and donor to donor variability. To overcome these disadvantages, we herein report the capabilities of a synthetic thermoreversible gelation polymer (TGP) scaffold to serve as an encapsulation support during LSC transplantation and to enable engraftment for corneal regeneration. METHODS: Sixteen discarded human corneas were used to isolate the corneal epithelium which was cultured in TGP and hAM. The cell proliferation and characteristics between TGP and hAM culture methods were evaluated by microscopic observation, 3H Thymidine incorporation assay, immunoperoxidase and immunofluorescence staining. RESULTS: The 3H Thymidine assay's results showed that TGP allowed human-donor cornea-derived LSCs to proliferate well in vitro, compared to hAM and the cells encapsulated in TGP and transplanted ex vivo onto a human cadaver donor cornea denuded of its epithelium, migrated on the ocular surface, and proliferated to form a continuous layer in 25 days. Immunoperoxidase and Immunofluorescence staining of TGP-cultured cells were positive for LSC markers (p63, ABCG2, Connexin 43 and Integrin β), proving that the TGP helps to preserve the limbal cells' stemness. CONCLUSION: TGP is found to be a multipurpose scaffold for (i) in vitro culture, (ii) ex vivo encapsulation, and in vivo transplantation (iii), enabling engraftment of LSCs in this study, with potentials to extend its application in cell-based therapies in several regenerative medicine approaches.",2023,Current eye research,10.1080/02713683.2023.2180039,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; carrier; membrane; corneal epithelium; limbal; limbal stem; p63; abcg2; rat; ex vivo; in vivo,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0768,38565006,Mucoadhesive phenylboronic acid-grafted carboxymethyl cellulose hydrogels containing glutathione for treatment of corneal epithelial cells exposed to benzalkonium chloride.,"Benzalkonium chloride (BAK) is the most commonly-used preservative in topical ophthalmic medications that may cause ocular surface inflammation associated with oxidative stress and dry eye syndrome. Glutathione (GSH) is an antioxidant in human tears and able to decrease the proinflammatory cytokine release from cells and reactive oxygen species (ROS) formation. Carboxymethyl cellulose (CMC), a hydrophilic polymer, is one of most commonly used artificial tears and can promote the corneal epithelial cell adhesion, migration and re-epithelialization. However, most of commercial artificial tears provide only temporary relief of irritation symptoms and show the short-term treatment effects. In the study, 3-aminophenylboronic acid was grafted to CMC for increase of mucoadhesive properties that might increase the precorneal retention time and maintain the effective therapeutic concentration on the ocular surface. CMC was modified with different degree of substitution (DS) and characterized by Fourier transform infrared spectroscopy and nuclear magnetic resonance spectroscopy. Phenylboronic acid (PBA)-grafted CMC hydrogels have interconnected porous structure and shear thinning behavior. Modification of CMC with high DS (H-PBA-CMC) shows the strong bioadhesive force. The optimal concentration of GSH to treat corneal epithelial cells (CECs) was evaluated by cell viability assay. H-PBA-CMC hydrogels could sustained release GSH and decrease the ROS level. H-PBA-CMC hydrogels containing GSH shows the therapeutic effects in BAK-damaged CECs via improvement of inflammation, apoptosis and cell viability. After topical administration of developed hydrogels, there was no ocular irritation in rabbits. These results suggested that PBA-grafted CMC hydrogels containing GSH might have potential applications for treatment of dry eye disease.",2024,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2024.113884,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,hydrogel; corneal epithelial; ocular surface; epithelial cell; re-epithelialization; cell viability; migration; rabbit; rat,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0781,38887317,Limbal stem cells carried by a four-dimensional -printed chitosan-based scaffold for corneal epithelium injury in diabetic rabbits.,"Methods: Herein, we obtained and characterized deltaN p63- and adenosine triphosphate-binding cassette subfamily G member 2-expressing limbal stem cells (LSCs). Chitosan and carboxymethyl chitosan (CTH) were cross-linked to be an in situ thermosensitive hydrogel (ACH), which was printed through four-dimensional (4D) printing to obtain a porous carrier with uniform pore diameter (4D-CTH). Rabbits were injected with alloxan to induce diabetes mellitus (DM). Following this, the LSC-carrying hydrogel was spread on the surface of the cornea of the diabetic rabbits to cure corneal epithelium injury. Results: Compared with the control group (LSCs only), rapid wound healing was observed in rabbits treated with LSC-carrying 4D-CTH. Furthermore, the test group also showed better corneal nerve repair ability. The results indicated the potential of LSC-carrying 4D-CTH in curing corneal epithelium injury. Conclusion: 4D-CTH holds potential as a useful tool for studying regenerative processes occurring during the treatment of various diabetic corneal epithelium pathologies with the use of stem cell-based technologies.",2024,Frontiers in physiology,10.3389/fphys.2024.1285850,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; carrier; hydrogel; corneal epithelium; limbal; limbal stem; wound healing; p63; rabbit; rat,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
PUBMED_0809,39151772,The effect of platelet-rich plasma and sodium alginate hydrogel on corneal wound healing after corneal alkali burns in rats with computer-assisted anterior segment optical coherence tomography image analysis.,"Our objective was to determine the effect of a semi-synthetic sodium alginate hydrogel and its combination with platelet-rich plasma (PRP) on histopathological, biochemical, clinical, and anterior segment optical coherence tomography (AS-OCT) data. Alkali chemical burn of the cornea was induced. Injured rats were randomly divided into five equal groups and topically treated with phosphate-buffered saline (sham), platelet-rich plasma (PRP), 0.5% sodium citrate, a semi-synthetic sodium alginate hydrogel, or a combination of PRP and hydrogel (combined group) three times daily. The degree of corneal opacity (CO), corneal epithelial staining (CES), percentage of corneal epithelial defects (CEDP), degree of ciliary hyperemia (CH), neovascularization size (NVS), and extent of neovascularization (NVE) were evaluated. AS-OCT was performed at nine days, and then rats were sacrificed. Histological examination and enzyme-linked immunosorbent assays were performed to detect the concentrations of IL-1β and MMP-9 in the cornea. There were no significant differences between the groups regarding CEDP, CO, CES, CH, NVS, or NVE on the first day after corneal alkali burn injury (p > 0,05). At the last examination, CO was significantly lower in the PRP group than in the sham group (p = 0,044), while the CO concentrations were similar in terms of NVS (p > 0,05). Similarly, in terms of tissue MMP-9 levels, there were no significant differences between groups (p > 0,05). However, there was a significant difference in tissue IL-1β levels between the groups (p < 0,001). In the PRP and combined groups, the level of IL-1β was significantly lower than that in the sham group (p = 0,043 and p = 0,036, respectively). There was a significant difference in epithelial necrosis between the PRP, and it was the lowest in the combined group (p = 0,003). Epithelial thickness was highest in the combined group (p = 0,002). CEDP was significantly different at the last visit between the groups (p = 0.042). The fastest epithelial closing rate was observed for the combined group (p = 0,026). There was a significant negative correlation between tissue MMP-9 levels and corneal solidity and between tissue MMP-9 levels and the corneal area according to the AS-OCT measurements (p = 0,012 and p = 0,027, respectively). When used alone, topical hydrogel application did not significantly enhance the healing of corneal wounds. However, when combined with PRP, it leads to an increased rate of epithelial closure and neovascularization. This combination did not exacerbate inflammation or corneal opacity compared to PRP alone. The anticoagulant citrate solution in the PRP tube did not prove effective. The synergistic use of PRP and hydrogel could enhance epithelial thickness and reduce epithelial necrosis. The use of new parameters for corneal wound healing assessment was facilitated through AS-OCT image processing.",2024,Experimental eye research,10.1016/j.exer.2024.110044,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,hydrogel; corneal epithelial; wound healing; rat; clinical,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,strong reconstruction/regeneration relevance; scaffold/carrier/material present,Supporting epithelium/limbus record
PUBMED_0858,39689863,An Optimized Method to Produce Human-Induced Pluripotent Stem Cell-Derived Limbal Stem Cells Easily Adaptable for Clinical Use.,"In adults, the limbal stem cells (LSC) reside in the limbal region of the eye, at the junction of the cornea and the sclera where they renew the outer epithelial layer of the cornea assuring transparency. LSC deficiencies (LSCD) due to disease or injury account for one of the major causes of blindness. Among current treatments for LSCD, cornea transparency can be restored by providing new LSC to the damaged eye and induced pluripotent stem cells (iPSC) holds great promise as a new advanced cell source. A synthetic mRNA-based protocol to produce human iPSC from bone marrow mesenchymal stem cells has been defined. The results demonstrate a standardizable method that can be easily adaptable for clinical-grade production standards, produce high-purity LSC-like cells in a relatively rapid timeframe of 12 days, and can be successfully seeded on amniotic membrane or a biodegradable fibrin gel for transplantation. In vivo data demonstrated it is feasible to transplant the iPSC-LSC fibrin patch. In conclusion, an efficient method has been developed to produce patient-specific LSC and seed them on a scaffold fibrin gel for future treatment of LSC-deficiency disease.",2025,Stem cells and development,10.1089/scd.2024.0172,A3_epithelium_limbus,1,Include,,epithelium_limbus,Medium,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",4,scaffold; membrane; patch; limbal; limbal stem; lsc; transparency; rat; in vivo; transplantation,Add to core candidate,Add to epithelium/limbus core,Clear epithelial/limbal tissue-engineering scaffold/carrier/cell-sheet signal with reconstruction or regeneration relevance.,5,scaffold/carrier/material present; translational or in vivo evidence; extractable benchmark markers likely,Supporting epithelium/limbus record
