screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0005,28613758,Neurotrophic Keratitis.,"Neurotrophic keratitis is a degenerative corneal disease caused by impaired sensory innervation. The condition is characterized by decreased or absent corneal sensation, leading to epithelial breakdown, delayed healing, and, ultimately, corneal ulceration, melting, and perforation. Initially described as neuroparalytic keratitis, this corneal pathology was first demonstrated experimentally by Magendie in 1824. Neurotrophic keratitis is a rare but vision-threatening disease that progresses due to corneal nerve dysfunction. The corneal nerves play a crucial role in maintaining ocular surface health by regulating epithelial cell proliferation, tear film stability, and immune responses. When these nerves are compromised by systemic or local conditions, the cornea loses its protective mechanisms, making it vulnerable to ulceration, infection, and mechanical trauma. The prevalence of neurotrophic keratitis is relatively low, affecting approximately 5 per 10,000 individuals, but it is often underdiagnosed due to its subtle clinical presentation. The disease follows the 3-stage Mackie classification. Stage 1 is characterized by corneal epithelial irregularities and punctate keratopathy. Stage 2 presents with a persistent epithelial defect (PED) and stromal involvement. Stage 3 encompasses corneal ulceration with stromal melting and possible perforation. Progression is often insidious, with patients rarely reporting pain due to diminished corneal sensation. However, some individuals may experience blurred vision, mild redness, or recurrent ocular surface inflammation. Early recognition and prompt intervention are essential to prevent irreversible damage and vision loss. Neurotrophic keratitis results from damage to the sensory (afferent) fibers of the trigeminal nerve, the 5th cranial nerve. These fibers maintain corneal sensation and epithelial integrity. Several systemic and ocular conditions can lead to corneal nerve dysfunction, including herpetic infection from herpes simplex (HSV) or varicella-zoster (VZV) virus, diabetes mellitus, postsurgical nerve damage from procedures such as refractive surgery, corneal transplantation, or trigeminal neuralgia surgery, as well as chemical burns, chronic topical drug use, contact lens wear, and autoimmune diseases such as Sjögren syndrome. Central nervous system disorders affecting the trigeminal ganglion or brainstem can also disrupt corneal innervation, contributing to neurotrophic keratitis. The corneal epithelium relies on trophic factors from corneal nerves, including substance P, nerve growth factor (NGF), and insulin-like growth factor 1 (IGF-1), to maintain ocular surface health and prevent epithelial breakdown. Loss of nerve function slows epithelial turnover, disrupts tear film dynamics, and impairs corneal healing, producing PEDs, ulceration, and corneal thinning. The absence of sensory feedback further reduces reflex tearing and blinking, exacerbating ocular surface desiccation and inflammation. One of the most challenging aspects of diagnosing neurotrophic keratitis is the lack of significant symptoms despite ongoing corneal damage. Unlike other corneal diseases, where pain and discomfort prompt early medical attention, neurotrophic keratitis often remains undetected until severe complications arise. Common clinical signs include punctate epithelial erosions, PEDs, corneal ulceration, and thinning. In advanced cases, stromal necrosis and perforation may develop, necessitating urgent surgical intervention. A comprehensive clinical evaluation should include corneal sensation testing with a cotton wisp, a Cochet-Bonnet esthesiometer, or dental floss. A slit-lamp examination can assess epithelial irregularities, tear meniscus height reduction, punctate keratopathy, and stromal opacities. Fluorescein and Rose Bengal staining help detect epithelial damage and conjunctival involvement, while tear film analysis using the Schirmer test, tear breakup time (TBUT), and ocular surface inflammation markers further support diagnosis. Corneal imaging with anterior segment optical coherence tomography (AS-OCT) or in vivo confocal microscopy (IVCM) provides detailed visualization of nerve density, epithelial integrity, and subbasal nerve plexus abnormalities. The Mackie classification divides neurotrophic keratitis into 3 progressive stages. Stage 1 presents with early epithelial irregularities, corneal haze, reduced tear film stability, and punctate epithelial erosions. Stage 2 involves a PED with underlying stromal involvement, often leading to stromal thinning and edema (see Image. Stage 2 Neurotrophic Keratitis). Stage 3 represents the most severe form, characterized by corneal ulceration, stromal melting, and potential perforation, which significantly increases the risk of infectious keratitis and permanent vision loss. Early recognition and classification are crucial for guiding treatment and preventing disease progression. Management of neurotrophic keratitis depends on disease severity and focuses on promoting corneal healing, restoring nerve function, and preventing complications. Treatment is multimodal, incorporating topical, surgical, and regenerative approaches. Conservative medical therapy serves as the first-line intervention, including lubrication with nonpreserved artificial tears, hydrogel inserts, and autologous serum tears to maintain ocular surface hydration. Discontinuing toxic medications, such as preserved eye drops, glaucoma drugs, and long-term corticosteroids, is essential to prevent further epithelial toxicity. Therapeutic contact lenses, including bandage, scleral, and amniotic membrane lenses, can support corneal healing in patients with PEDs. For more advanced cases, biological and pharmacologic treatments have transformed neurotrophic keratitis management. Recombinant NGF (cenegermin-bkbj, Oxervate™) stimulates corneal nerve regeneration and enhances epithelial healing. Platelet-rich plasma (PRP) and autologous serum drops, which contain epithelial growth factors and anti-inflammatory cytokines, support ocular surface repair and reduce inflammation. Surgical and interventional approaches are reserved for severe or refractory cases. Tarsorrhaphy, a partial or complete closure of the eyelids, reduces corneal exposure and promotes healing. Amniotic membrane transplantation (AMT) provides growth factors and anti-inflammatory properties to facilitate epithelial recovery. Corneal neurotization, a novel technique involving the transplantation of sensory nerves, such as the supraorbital or infraorbital nerve, has shown promise in restoring corneal sensation in severe cases. For patients with corneal perforation, conjunctival flaps and keratoplasty procedures, including lamellar or penetrating keratoplasty (PKP), may be necessary. Managing neurotrophic keratitis requires an interprofessional approach involving ophthalmologists, cornea specialists, neurologists, and optometrists. Early referral to an ophthalmologist is essential, as delayed diagnosis can lead to irreversible corneal damage. The future of neurotrophic keratitis treatment lies in regenerative medicine, neuroprotection, and gene therapy. Emerging therapies, including mesenchymal stem cell therapy, gene-based neurotrophic factor delivery, and bioengineered corneal substitutes, offer hope for improved outcomes. Advances in biologic treatments, regenerative medicine, and corneal neurotization are transforming the treatment landscape, enhancing both visual prognosis and quality of life. Increased awareness, research, and accessibility of novel therapies will be crucial in optimizing long-term patient outcomes.",2026,,,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,"PURPOSE: To describe the use of collagen-based alternatives to cyanoacrylate glue for the sealing of acute corneal perforations. METHODS: A collagen analog comprising a collagen-like peptide conjugated to polyethylene glycol (CLP-PEG) and its chemical crosslinker were tested for biocompatibility. These CLP-PEG hydrogels, which are designed to act as a framework for corneal tissue regeneration, were then tested as potential fillers in ex vivo human corneas with surgically created full-thickness perforations. Bursting pressures were measured in each of 3 methods (n = 10 for each condition) of applying a seal: 1) cyanoacrylate glue with a polyethylene patch applied ab externo (gold standard); 2) a 100-μm thick collagen hydrogel patch applied ab interno, and 3) the same collagen hydrogel patch applied ab interno supplemented with CLP-PEG hydrogel molded in situ to fill the remaining corneal stromal defect. RESULTS: Cyanoacrylate gluing achieved a mean bursting pressure of 325.9 mm Hg, significantly higher than the ab interno patch alone (46.3 mm Hg) and the ab interno patch with the CLP-PEG filler (86.6 mm Hg). All experimental perforations were sealed effectively using 100 μm hydrogel sheets as an ab interno patch, whereas conventional ab externo patching with cyanoacrylate glue failed to provide a seal in 30% (3/10) cases. CONCLUSIONS: An ab interno patch system using CLP-PEG hydrogels designed to promote corneal tissue regeneration may be a viable alternative to conventional cyanoacrylate glue patching for the treatment of corneal perforation. Further experimentation and material refinement is required in advance of clinical trials.",2018,Cornea,10.1097/ICO.0000000000001459,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0040,29535350,TGF-β1 promotes cell barrier function upon maturation of corneal endothelial cells.,"Human corneal endothelial cells (HCECs) easily become fibroblastic-like when cultured, rendering them unsuitable for tissue engineering of the cornea. Transforming growth factor β (TGF-β) could be a key factor in this phenomenon; however, TGF-β is also known to maintain the endothelium in a quiescent state in vivo. This work aimed to compare the effects of TGF-β1 on the phenotype of HCECs during the proliferation and maturation phases. Our results show that addition of TGF-β1 during the active proliferation phase produced fibroblastic HCECs and loss of the cell junction markers ZO-1 and n-cadherin, independent from the presence of epidermal growth factor (EGF). By contrast, addition of TGF-β1 in maturation media containing few mitogens led to an endothelial phenotype and functional cell junctions as HCECs developed a high trans-endothelial resistance. Furthermore, addition of AG-1478, an epithelial growth factor receptor inhibitor, enhanced the gain of the endothelial phenotype and cell barrier function. Overall, these results show that TGF-β1 can be used to promote the formation of a typical leaky endothelial barrier during the maturation phase of cultured HCECs. A two-phase culture of HCECs using distinct proliferation and maturation media could also be key for developing ideal HCEC culture conditions.",2018,Scientific reports,10.1038/s41598-018-22821-9,A3_epithelium_limbus;C4_endothelium,2,Include,,epithelium_limbus,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,"Total bilateral limbal stem cell deficiency leading to loss of corneal clarity, potential vision loss, pain, photophobia, and keratoplasty failure cannot be treated by autologous limbal transplantation, and allogeneic limbal transplantation requires subsequent immunosuppressive treatment. Cultured autologous oral mucosal epithelial cells have been shown to be safe and effective alternatives. These cells can be transplanted on supports or without support after detachment from the culture dishes. Dispase, known for epidermal sheet detachment, is reported as not usable for oral mucosa. The objective was to find an optimized detachment method providing a sufficiently resistant and adhesive cultured oral mucosal epithelium (COME), which can be grafted without sutures. Enzymatic treatments (dispase or collagenase at different concentrations) were compared to enzyme-free mechanical detachment. Histological immunofluorescence (IF) and Western blotting (WB) were used to examine the impact on adhesion markers (laminin-332, β1-integrin, and type VII collagen) and junctional markers (E-cadherin, P-cadherin). Finally, the COME ability to adhere to the cornea and produce a differentiated epithelium 15 d after grafting onto an ex vivo porcine stroma model were investigated by histology, IF, and transmission electron microscopy. Collagenase at 0.5 mg/mL and dispase at 5 mg/mL were selected for comparative study on adhesive expression marker by IF and WB showed that levels of basement membrane proteins and cell-cell and cell-matrix junction proteins were not significantly different between the 3 detachment methods. Collagenase 0.5 mg/mL was selected for the next step validation because of the better reproducibility, 100% success (vs. 33% with dispase 5 mg/mL). Grafted onto porcine de-epithelialized corneal stroma, collagenase 0.5 mg/mL detached COME were found to adhere, stratify, and continue to ensure renewal of the epithelium. For COME, collagenase 0.5 mg/mL enzymatic detachment was selected and validated on its resistance and adhesive marker expression as well as their anchorage onto our new ex vivo de-epithelialized stroma model.",2018,Cell transplantation,10.1177/0963689717741140,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0069,29883810,Cell-laden and orthogonal-multilayer tissue-engineered corneal stroma induced by a mechanical collagen microenvironment and transplantation in a rabbit model.,"The development of functional therapies for corneal repair and regeneration is a pressing issue. Corneal stroma provides the principal functions of the cornea. However, because of the highly organized nature of the stromal matrix, the attempts to reproduce corneal stroma might follow a scar model. Here, we have developed a protocol for the efficient generation of a cell-laden and orthogonal-multilayer tissue-engineered (TE) corneal stroma, which is induced by the mechanical effects of compressed collagen (CC) or stretched compressed collagen (SCC). Within SCC, with applied compression and force extension, collagen microfibres and corneal stromal cells (CSCs) are arranged orderly, while collagen fibres and CSCs in CC are randomly arranged. Dehydrated SCC has higher tensile strength than dehydrated CC. Hydrated SCC has similar transparency with hydrated native corneal stroma. Compared with those cultured on tissue culture plates (TCP), down-regulation of the genes and proteins of cytoskeleton, activation, proliferation, collagen and TRPV4, up-regulation of proteoglycans, gap junction proteins and TRPA1 are in CSCs of CC and SCC. Moreover, SCC and CC grafts displayed biocompatibility and integration with host corneal tissue after rabbit intra-corneal stromal transplantation by wk 6 under slit lamp microscopy, in vivo confocal microscopy and histological examination. The SCC model facilitates the construction of physiological feature TE corneal stroma, which serves as a foundation for physiological TE construction of other tissues. STATEMENT OF SIGNIFICANCE: The development of functional therapies for corneal repair and regeneration is a pressing issue. Corneal stroma provides the principal functions of the cornea. Here, we have developed a protocol for the efficient generation of a cell-laden and orthogonal-multilayer tissue-engineered (TE) corneal stroma, which is induced by the mechanical effects of compressed collagen (CC) or stretched compressed collagen (SCC). These models facilitate the construction of physiological feature TE corneal stroma, which serves as a foundation for physiological TE construction of other tissues and helps to reverse fibrosis pathologies in general.",2018,Acta biomaterialia,10.1016/j.actbio.2018.06.005,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0073,29978836,Decellularized corneal lenticule embedded compressed collagen: toward a suturable collagenous construct for limbal reconstruction.,"Recently, compressed collagen has attracted much attention as a potential alternative for a limbal epithelial stem cell (LESC) carrier to treat limbal stem cell deficiency (LSCD), in that it can provide mechanically improved collagen fibrillar structures compared to conventional collagen hydrogel. However, its clinical efficacy as an LESC carrier has not yet been studied through in vivo transplantation due to limited mechanical strength that cannot withstand a force induced by surgical suturing and low resistance to enzymatic degradation. This study firstly presents a suturable LESC carrier based on compressed collagen in the form of a biocomposite. The biocomposite was achieved by integrating a decellularized corneal lenticule, which is a decellularized stromal tissue obtained from corneal refractive surgery, inside a compressed collagen to form a sandwich structure. A suture retention test verified that the biocomposite has a much higher suture retention strength (0.56 ± 0.12 N) compared to the compressed collagen (0.02 ± 0.01 N). The biocomposite also exhibited more than 3 times higher resistance to enzymatic degradation, indicating long-term stability after transplantation. In vitro cell culture results revealed that the biocomposite effectively supported the expansion and stratification of the LESCs with expressions of putative stem cell and differentiated corneal epithelial cell markers. Finally, the biocomposite verified its clinical efficacy by stably delivering the LESCs onto an eye of a rabbit model of LSCD and effectively reconstructing the ocular surface.",2018,Biofabrication,10.1088/1758-5090/aad1a4,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance."
PUBMED_0106,30339045,Evaluation of the Suitability of Biocompatible Carriers as Artificial Transplants Using Cultured Porcine Corneal Endothelial Cells.,"Purpose/Aim: Evaluating the suitability of bioengineered collagen sheets and human anterior lens capsules (HALCs) as carriers for cultivated porcine corneal endothelial cells (pCECs) and in vitro assessment of the cell-carrier sheets as tissue-engineered grafts for Descemet membrane endothelial keratoplasty (DMEK). MATERIALS AND METHODS: pCECs were isolated, cultured up to P2 and seeded onto LinkCell™ bioengineered matrices of 20 µm (LK20) or 100 µm (LK100) thickness, and on HALC. During expansion, pCEC viability and morphology were assessed by light microscopy. ZO-1 and Na(+)/K(+)-ATPase expression was investigated by immunohistochemistry. Biomechanical properties of pCEC-carrier constructs were evaluated by simulating DMEK surgery in vitro using an artificial anterior chamber (AC) and a human donor cornea without Descemet membrane (DM). RESULTS: During in vitro expansion, cultured pCECs retained their proliferative capacity, as shown by the positive staining for proliferative marker Ki67, and a high cell viability rate (96 ± 5%). pCECs seeded on all carriers formed a monolayer of hexagonal, tightly packed cells that expressed ZO-1 and Na(+)/K(+)-ATPase. During in vitro surgery, pCEC-LK20 and pCEC-LK100 constructs were handled like Descemet stripping endothelial keratoplasty (DSEK) grafts, i.e. folded like a ""taco"" for insertion because of challenges related to rolling and sticking of the grafts in the injector. pCEC-HALC constructs behaved similar to the DMEK reference model during implantation and unfolding in the artificial AC, showing good adhesion to the bare stroma. CONCLUSIONS: In vitro DMEK surgery showed HALC as the most suitable carrier for cultivated pCECs with good intraoperative graft handling. LK20 carrier showed good biocompatibility, but required a DSEK-adapted surgical protocol. Both carriers might be notional candidates for potential future clinical applications.",2019,Current eye research,10.1080/02713683.2018.1536215,C4_endothelium;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance."
PUBMED_0144,30918800,Construction of a full-thickness human corneal substitute from anterior acellular porcine corneal matrix and human corneal cells.,"AIM: To construct functional human full-thickness corneal replacements. METHODS: Acellular porcine corneal matrix (APCM) was developed from porcine cornea by decellulariztion. The biomechanical properties of anterior-APCM (AAPCM) and posterior-APCM (PAPCM) were checked using uniaxial tensile testing. Human corneal cells were obtained by cell culture. Suspending ring was designed by deformation of an acupuncture needle. MTT cytotoxicity assay was used to check the cytotoxicity of suspending ring soaking solutions. A new three-dimensional organ culture system was established by combination of suspending ring, 48-well plate and medium together. A human full-thickness corneal substitute was constructed from human corneal cells with AAPCM in an organ coculture system. Biochemical marker expression of the construct was measured by immunofluorescent staining and morphological structures were observed using scanning electron microscopy. Pump function and biophysical properties were examined by penetrating keratoplasty and follow-up clinical observations. RESULTS: There were no cells in the AAPCM or PAPCM, whereas collagen fibers, Bowman's membrane, and Descemet's membrane were retained. The biomechanical property of AAPCM was better than PAPCM. Human corneal cells grew better on the AAPCM than on the PAPCM. There was no cytotoxicity for the suspending ring soaking solutions. For the constructed full-depth human corneal replacements keratocytes scattered uniformly throughout the AAPCM and expressed vimentin. The epithelial layer was located on the surface of Bowman's membrane and composed of three or four layers of epithelial cells expressing cytokeratin 3. One layer of endothelial cells covered the stromal surface of AAPCM, expressed Na(+)/K(+)ATPase and formed the endothelial layer. The construct was similar to normal human corneas, with many microvilli on the epithelial cell surface, stromal cells with a long shuttle shape, and zonula occludens on the interface of endothelial cells. The construct withstood surgical procedures during penetrating keratoplasty. The corneal transparency increased gradually and was almost completely restored 7d after surgery. CONCLUSION: AAPCM is an ideal scaffold for constructing full-thickness corneal replacement, and functional human full-thickness corneal replacements are successfully constructed using AAPCM and human corneal cells.",2019,International journal of ophthalmology,10.18240/ijo.2019.03.01,A3_epithelium_limbus;B3_stroma;C4_endothelium;D3_full_thickness_multilayer,4,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance."
PUBMED_0151,30989737,Construction of a high cell density human corneal endothelial equivalent and its transplantation in primate models.,"BACKGROUND: Recently, many patients with corneal blindness caused by endothelial dysfunction have no opportunity to receive keratoplasty therapy because of the extremely limited number of donor corneas. Corneal tissue engineering opens a new path for in vitro reconstruction of tissue-engineered HCE which will cure the corneal endotheliopathy by clinical corneal transplantation. In this study, we construct a human corneal endothelium (HCE) equivalent with non-transfected monoclonal HCE (mcHCE) cells and modified denuded amniotic membrane (mdAM), and evaluate its functions in monkey models. METHODS: Tissue-engineered HCE (TE-HCE) was constructed by culturing DiI-labeled mcHCE cells on mdAMs in 20% fetal bovine serum-containing DMEM/Ham's Nutrient Mixture F12 (1:1) medium and 5% CO(2) at 37°C on a 24-well culture plate. The constructed TE-HCE was transplanted into monkey corneas via penetrating keratoplasty with Descemet's membrane and endothelium stripped. The corneal transparency, thickness, and intraocular pressure were monitored in vivo, and the corneal morphology and histological structure were examined ex vivo 181 days after surgery. RESULTS: The constructed TE-HCE, with an average density of 3602.22 ± 45.22 cells/mm(2) , mimicked its natural counterpart both in morphology and histological structure. In vivo, corneal transparency was maintained, and the corneal thickness gradually decreased to 567.33 ± 72.77 μm at day 181 after TE-HCE transplanted into monkey eyes, while intense corneal edema and turbid were found in mdAM-transplanted eyes with their corneal thicknesses maintained over 1000 μm during the monitoring period. Ex vivo, a monolayer of corneal endothelium, consisting of mcHCE cells at a density of 2795.65 ± 156.83 cells/mm(2) , was reconstructed in transplanted monkey eyes. The cells in the transplanted area had the hexagonal or polygonal morphology and normal ultrastructure, and established plenty of cell-cell and cell-stromal matrix junctions. Besides, huge membrane-bounded flat stacks with electric dense inclusions were found in mcHCE cells beneath the plasma membrane at the stromal side. CONCLUSIONS: The constructed TE-HCE has normal histological property and functions well in monkey models. The TE-HCE could be used as a promising HCE equivalent in therapy of corneal endothelium dysfunction and corneal regenerative medicine.",2019,Xenotransplantation,10.1111/xen.12514,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance."
PUBMED_0153,31009395,"Effects of Soft Toric, Rigid Gas-Permeable, and Mini-Scleral Lenses on Corneal Microstructure Using Confocal Microscopy.","OBJECTIVE: To determine effects of wearing soft toric silicone hydrogel, rigid gas-permeable (RGP), and mini-scleral lenses on corneal microstructure using confocal microscopy. METHOD: A prospective cohort study was conducted on 33 neophyte patients fitted with contact lenses (avg. age: 26±7 years) in the tertiary eye center. Patients were instructed to wear soft toric silicone hydrogel, RGP, or mini-scleral lenses based on clinical diagnoses. Inclusion criteria were age greater than 18 years and best-corrected visual acuity ≥3/10. Patients with a history of eye-involving systemic diseases were excluded. Baseline examinations included log of minimal angle of resolution visual acuity (Early Treatment Diabetic Retinopathy Study chart), refraction, slit-lamp, and fundoscopy. Confocal microscopy was used to measure subbasal nerve (SBN) density (mm/mm), keratocyte cell density (cells/mm), basal epithelial cell density (cells/mm), and endothelial cell density (cells/mm). Data were gathered on the first and follow-up visits. The follow-up visit happened after 6 months when the subjects had stopped wearing contact lenses for 12 hr. Comparative analysis was conducted within each group using the paired t test. RESULTS: The changes in visual acuity, SBN, and keratocyte cell density were insignificant after 6 months of wearing lenses in all three groups. The basal epithelial cell density significantly decreased (P<0.05) in RGP and mini-scleral groups. In addition, the endothelial cell density decreased significantly (P<0.05) in the RGP group. No significant changes were detected in soft toric silicone hydrogel lens wearers. CONCLUSIONS: Soft toric silicone hydrogel lenses seemed to have the least impact on the corneal cellular microstructure for a wear period of 6 months, controlling confounding factors of prior cross-sectional investigations. The coarse (three layers) versus fine (five layers) division of stroma, the repeatability and reproducibility of stromal layers' demarcation, and the cohort size and its diversity in terms of initial corneal diagnoses (particularly in the mini-scleral wearing group) can potentially influence the outcomes, and their impact remains to be further investigated.",2020,Eye & contact lens,10.1097/ICL.0000000000000612,A3_epithelium_limbus;C4_endothelium,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance."
