screening_id,pmid,title,abstract,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes,final_core_status,strict_final_status,endothelium_relevance_score,endothelium_relevance_terms,recommended_action,strict_endothelium_decision,strict_endothelium_reason
PUBMED_0008,29024376,"Evaluation of collagen foam, poly(l-lactic acid) nanofiber mesh, and decellularized matrices for corneal regeneration.","Corneal tissue engineering efforts to obtain corneal tissue matrices through various types of materials for the replacement of damaged tissues. In this study, three different corneal constructs were prepared and evaluated in terms of morphological, optical, and biological characteristics. Type-I collagen was used to obtain collagen foam scaffolds through dehydrothermal crosslinking, while poly(l-lactic acid) (PLLA) was used to produce both random and aligned oriented electrospun corneal constructs. Bovine corneas were decellularized as third matrix. Software analyses showed that average pore size of collagen scaffolds was 88.207 ± 29.7 µm, while the average fiber diameter of aligned and random PLLA scaffolds were 0.69 ± 0.03 and 0.65 ± 0.03 μm, respectively. Degradation profiles revealed that collagen foam exhibits high degradation (20% mass loss) while electrospun PLLA scaffolds hold low degradation (9% mass loss) rates at day-28. Transmittance values of the obtained scaffolds were calculated as 92, 80, and 70% for collagen, PLLA, and decellularized cornea constructs, respectively. The evaluation of stromal keratocyte behavior on the constructs revealed that the cells exhibited their own morphology mostly on the aligned PLLA constructs, while they were mostly active on random PLLA electrospun corneal scaffolds. © 2017 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater, 106B: 2157-2168, 2018.",2018,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.34022,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0013,29128534,Development of gelatin/ascorbic acid cryogels for potential use in corneal stromal tissue engineering.,"To offer an ideal hospitable environment for corneal keratocyte growth, the carrier materials can be functionalized with incorporation of signaling molecules to regulate cell biological events. This study reports, for the first time, the development of gelatin/ascorbic acid (AA) cryogels for keratocyte carriers in vitro and in vivo. The cryogel samples were fabricated by blending of gelatin with varying amounts of AA (0-300 mg) and carbodiimide cross-linking via cryogelation technique. Hydrophilic AA content in the carriers was found to significantly affect cross-linking degree and pore dimension of cryogels, thereby dictating their mechanical and biological stability and AA release profile. The cryogel carriers with low-to-moderate AA loadings were well tolerated by rabbit keratocyte cultures and anterior segment eye tissues, demonstrating good ocular biocompatibility. Although higher incorporated AA level contributed to enhanced metabolic activity and biosynthetic capacity of keratocytes grown on cryogel matrices, the presence of excessive amounts of AA molecules could lead to toxic effect and limit cell proliferation and matrix production. The cytoprotective activity against oxidative stress was shown to be strongly dependent on AA release, which further determined cell culture performance and tissue reconstruction efficiency. With the optimum AA content in carrier materials, intrastromally implanted cell/cryogel constructs exhibited better capability to enhance tissue matrix regeneration and transparency maintenance as well as to mitigate corneal damage in an alkali burn-induced animal model. It is concluded that understanding of antioxidant molecule-mediated structure-property-function interrelationships in gelatin/AA cryogels is critical to designing carrier materials for potential use in corneal stromal tissue engineering. STATEMENT OF SIGNIFICANCE: Multifunctional cryogel material can offer an ideal hospitable environment for cell-mediated tissue reconstruction. To our knowledge, this is the first report describing the use of gelatin/ascorbic acid (AA) cryogels as keratocyte carriers for corneal stromal tissue engineering. The AA loading during cryogel fabrication is found to have a significant effect on cross-linking degree and pore dimension, mechanical and biological stability, ocular biocompatibility, cell culture performance, and cytoprotective activity, giving comprehensive insight into fine-tuning the structure-property-function interrelationships of keratocyte carrier material. Using an alkali burn-induced animal model, we present evidence that with the optimum AA loading into cryogel materials, intrastromally implanted cell/carrier constructs exhibited better capability to enhance tissue matrix regeneration and transparency maintenance as well as to mitigate corneal damage.",2018,Acta biomaterialia,10.1016/j.actbio.2017.11.018,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0016,29176452,Collagen-Based Fillers as Alternatives to Cyanoacrylate Glue for the Sealing of Large Corneal Perforations.,"PURPOSE: To describe the use of collagen-based alternatives to cyanoacrylate glue for the sealing of acute corneal perforations. METHODS: A collagen analog comprising a collagen-like peptide conjugated to polyethylene glycol (CLP-PEG) and its chemical crosslinker were tested for biocompatibility. These CLP-PEG hydrogels, which are designed to act as a framework for corneal tissue regeneration, were then tested as potential fillers in ex vivo human corneas with surgically created full-thickness perforations. Bursting pressures were measured in each of 3 methods (n = 10 for each condition) of applying a seal: 1) cyanoacrylate glue with a polyethylene patch applied ab externo (gold standard); 2) a 100-μm thick collagen hydrogel patch applied ab interno, and 3) the same collagen hydrogel patch applied ab interno supplemented with CLP-PEG hydrogel molded in situ to fill the remaining corneal stromal defect. RESULTS: Cyanoacrylate gluing achieved a mean bursting pressure of 325.9 mm Hg, significantly higher than the ab interno patch alone (46.3 mm Hg) and the ab interno patch with the CLP-PEG filler (86.6 mm Hg). All experimental perforations were sealed effectively using 100 μm hydrogel sheets as an ab interno patch, whereas conventional ab externo patching with cyanoacrylate glue failed to provide a seal in 30% (3/10) cases. CONCLUSIONS: An ab interno patch system using CLP-PEG hydrogels designed to promote corneal tissue regeneration may be a viable alternative to conventional cyanoacrylate glue patching for the treatment of corneal perforation. Further experimentation and material refinement is required in advance of clinical trials.",2018,Cornea,10.1097/ICO.0000000000001459,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0038,29495264,Engineering of Corneal Tissue through an Aligned PVA/Collagen Composite Nanofibrous Electrospun Scaffold.,"Corneal diseases are the main reason of vision loss globally. Constructing a corneal equivalent which has a similar strength and transparency with the native cornea, seems to be a feasible way to solve the shortage of donated cornea. Electrospun collagen scaffolds are often fabricated and used as a tissue-engineered cornea, but the main drawback of poor mechanical properties make it unable to meet the requirement for surgery suture, which limits its clinical applications to a large extent. Aligned polyvinyl acetate (PVA)/collagen (PVA-COL) scaffolds were electrospun by mixing collagen and PVA to reinforce the mechanical strength of the collagen electrospun scaffold. Human keratocytes (HKs) and human corneal epithelial cells (HCECs) inoculated on aligned and random PVA-COL electrospun scaffolds adhered and proliferated well, and the aligned nanofibers induced orderly HK growth, indicating that the designed PVA-COL composite nanofibrous electrospun scaffold is suitable for application in tissue-engineered cornea.",2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8020124,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0045,29620862,Gelatin-Based Photocurable Hydrogels for Corneal Wound Repair.,"In this study, an injectable, photocurable gelatin system, consisting of acrylated gelatin and thiolated gelatin, with tunable mechanical, biodegradation, and biological properties was used as a potential cell-supportive scaffold for the repair of focal corneal wounds. The mechanical property of hydrogels can be readily modified (postcure shear modulus of between 0.3 and 22 kPa) by varying the ratio of acrylate to thiol groups, photointensity, and solid content, and the biodegradation times also varied with the change of solid content. More importantly, the generated hydrogels exhibited excellent cell viability in both cell seeding and cell encapsulation experiments. Furthermore, the hydrogels were found to be biocompatible with rabbit cornea and aided the regeneration of a new tissue under a focal corneal wound (exhibiting epithelial wound coverage in <3d), and ultraviolet irradiation did not have any obvious harmful effect on the cornea and posterior eye segment tissues. Along with their injectability and tunable mechanical properties, the photocurable thiol-acrylate hydrogels showed promise as corneal substitutes or substrates to construct a new corneal tissue.",2018,ACS applied materials & interfaces,10.1021/acsami.7b17054,A3_epithelium_limbus;D3_full_thickness_multilayer,2,Include,,epithelium_limbus,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0049,29637812,Preserving Basement Membranes during Detachment of Cultivated Oral Mucosal Epithelial Cell Sheets for the Treatment of Total Bilateral Limbal Stem Cell Deficiency.,"Total bilateral limbal stem cell deficiency leading to loss of corneal clarity, potential vision loss, pain, photophobia, and keratoplasty failure cannot be treated by autologous limbal transplantation, and allogeneic limbal transplantation requires subsequent immunosuppressive treatment. Cultured autologous oral mucosal epithelial cells have been shown to be safe and effective alternatives. These cells can be transplanted on supports or without support after detachment from the culture dishes. Dispase, known for epidermal sheet detachment, is reported as not usable for oral mucosa. The objective was to find an optimized detachment method providing a sufficiently resistant and adhesive cultured oral mucosal epithelium (COME), which can be grafted without sutures. Enzymatic treatments (dispase or collagenase at different concentrations) were compared to enzyme-free mechanical detachment. Histological immunofluorescence (IF) and Western blotting (WB) were used to examine the impact on adhesion markers (laminin-332, β1-integrin, and type VII collagen) and junctional markers (E-cadherin, P-cadherin). Finally, the COME ability to adhere to the cornea and produce a differentiated epithelium 15 d after grafting onto an ex vivo porcine stroma model were investigated by histology, IF, and transmission electron microscopy. Collagenase at 0.5 mg/mL and dispase at 5 mg/mL were selected for comparative study on adhesive expression marker by IF and WB showed that levels of basement membrane proteins and cell-cell and cell-matrix junction proteins were not significantly different between the 3 detachment methods. Collagenase 0.5 mg/mL was selected for the next step validation because of the better reproducibility, 100% success (vs. 33% with dispase 5 mg/mL). Grafted onto porcine de-epithelialized corneal stroma, collagenase 0.5 mg/mL detached COME were found to adhere, stratify, and continue to ensure renewal of the epithelium. For COME, collagenase 0.5 mg/mL enzymatic detachment was selected and validated on its resistance and adhesive marker expression as well as their anchorage onto our new ex vivo de-epithelialized stroma model.",2018,Cell transplantation,10.1177/0963689717741140,A3_epithelium_limbus;B3_stroma,2,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0060,29710848,Biofunctionalized Lysophosphatidic Acid/Silk Fibroin Film for Cornea Endothelial Cell Regeneration.,"Cornea endothelial cells (CEnCs) tissue engineering is a great challenge to repair diseased or damaged CEnCs and require an appropriate biomaterial to support cell proliferation and differentiation. Biomaterials for CEnCs tissue engineering require biocompatibility, tunable biodegradability, transparency, and suitable mechanical properties. Silk fibroin-based film (SF) is known to meet these factors, but construction of functionalized graft for bioengineering of cornea is still a challenge. Herein, lysophosphatidic acid (LPA) is used to maintain and increase the specific function of CEnCs. The LPA and SF composite film (LPA/SF) was fabricated in this study. Mechanical properties and in vitro studies were performed using a rabbit model to demonstrate the characters of LPA/SF. ATR-FTIR was characterized to identify chemical composition of the films. The morphological and physical properties were performed by SEM, AFM, transparency, and contact angle. Initial cell density and MTT were performed for adhesion and cell viability in the SF and LPA/SF film. Reverse transcription polymerase chain reactions (RT-PCR) and immunofluorescence were performed to examine gene and protein expression. The results showed that films were designed appropriately for CEnCs delivery. Compared to pristine SF, LPA/SF showed higher biocompatibility, cell viability, and expression of CEnCs specific genes and proteins. These indicate that LPA/SF, a new biomaterial, offers potential benefits for CEnCs tissue engineering for regeneration.",2018,"Nanomaterials (Basel, Switzerland)",10.3390/nano8050290,C4_endothelium;D3_full_thickness_multilayer,2,Include,,endothelium,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0069,29883810,Cell-laden and orthogonal-multilayer tissue-engineered corneal stroma induced by a mechanical collagen microenvironment and transplantation in a rabbit model.,"The development of functional therapies for corneal repair and regeneration is a pressing issue. Corneal stroma provides the principal functions of the cornea. However, because of the highly organized nature of the stromal matrix, the attempts to reproduce corneal stroma might follow a scar model. Here, we have developed a protocol for the efficient generation of a cell-laden and orthogonal-multilayer tissue-engineered (TE) corneal stroma, which is induced by the mechanical effects of compressed collagen (CC) or stretched compressed collagen (SCC). Within SCC, with applied compression and force extension, collagen microfibres and corneal stromal cells (CSCs) are arranged orderly, while collagen fibres and CSCs in CC are randomly arranged. Dehydrated SCC has higher tensile strength than dehydrated CC. Hydrated SCC has similar transparency with hydrated native corneal stroma. Compared with those cultured on tissue culture plates (TCP), down-regulation of the genes and proteins of cytoskeleton, activation, proliferation, collagen and TRPV4, up-regulation of proteoglycans, gap junction proteins and TRPA1 are in CSCs of CC and SCC. Moreover, SCC and CC grafts displayed biocompatibility and integration with host corneal tissue after rabbit intra-corneal stromal transplantation by wk 6 under slit lamp microscopy, in vivo confocal microscopy and histological examination. The SCC model facilitates the construction of physiological feature TE corneal stroma, which serves as a foundation for physiological TE construction of other tissues. STATEMENT OF SIGNIFICANCE: The development of functional therapies for corneal repair and regeneration is a pressing issue. Corneal stroma provides the principal functions of the cornea. Here, we have developed a protocol for the efficient generation of a cell-laden and orthogonal-multilayer tissue-engineered (TE) corneal stroma, which is induced by the mechanical effects of compressed collagen (CC) or stretched compressed collagen (SCC). These models facilitate the construction of physiological feature TE corneal stroma, which serves as a foundation for physiological TE construction of other tissues and helps to reverse fibrosis pathologies in general.",2018,Acta biomaterialia,10.1016/j.actbio.2018.06.005,B3_stroma;D3_full_thickness_multilayer,2,Include,,stroma,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core - unresolved manual check,Keep core - cautious,,,,,
PUBMED_0073,29978836,Decellularized corneal lenticule embedded compressed collagen: toward a suturable collagenous construct for limbal reconstruction.,"Recently, compressed collagen has attracted much attention as a potential alternative for a limbal epithelial stem cell (LESC) carrier to treat limbal stem cell deficiency (LSCD), in that it can provide mechanically improved collagen fibrillar structures compared to conventional collagen hydrogel. However, its clinical efficacy as an LESC carrier has not yet been studied through in vivo transplantation due to limited mechanical strength that cannot withstand a force induced by surgical suturing and low resistance to enzymatic degradation. This study firstly presents a suturable LESC carrier based on compressed collagen in the form of a biocomposite. The biocomposite was achieved by integrating a decellularized corneal lenticule, which is a decellularized stromal tissue obtained from corneal refractive surgery, inside a compressed collagen to form a sandwich structure. A suture retention test verified that the biocomposite has a much higher suture retention strength (0.56 ± 0.12 N) compared to the compressed collagen (0.02 ± 0.01 N). The biocomposite also exhibited more than 3 times higher resistance to enzymatic degradation, indicating long-term stability after transplantation. In vitro cell culture results revealed that the biocomposite effectively supported the expansion and stratification of the LESCs with expressions of putative stem cell and differentiated corneal epithelial cell markers. Finally, the biocomposite verified its clinical efficacy by stably delivering the LESCs onto an eye of a rabbit model of LSCD and effectively reconstructing the ocular surface.",2018,Biofabrication,10.1088/1758-5090/aad1a4,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,Include,,multiple_layers,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
PUBMED_0104,30323996,Universal Corneal Epithelial-Like Cells Derived from Human Embryonic Stem Cells for Cellularization of a Corneal Scaffold.,"PURPOSE: We generated universal corneal epithelial cells (CEC) from human embryonic stem cells (hESC) by genetically removing human leukocyte antigens (HLA) class I from the cell surface. METHODS: The serum-free, growth factor-free, and defined medium E6 was used to differentiate hESC to CEC. Decellularized murine corneas were recellularized with hESC-derived CEC. Using CRISPR/Cas9, β-2-microglobulin (B2M) was deleted in hESC to block the assembly of HLA class-I antigens on the cell surface to generate B2M (-/-) CEC. RESULTS: E6 alone was sufficient to allow hESC differentiation to CEC. A time-course analysis of the global gene expression of the differentiating cells indicates that the differentiation closely resembles the corneal development in vivo. The hESC-CEC were highly proliferative, and could form multilayer epithelium in decellularized murine cornea, retain its transparency, and form intact tight junctions on its surface. As reported before, B2M knockout led to the absence of HLA class-I on the cell surface of hESC and subsequently derived CEC following stimulation with inflammatory factors. Moreover, B2M (-/-) CEC, following transplantation into mouse eyes, caused less T-cell infiltration in the limbal region of the eye than the wild-type control. CONCLUSIONS: CEC can be derived from hESC via a novel and simple protocol free of any proteins, hESC-CEC seeded on decellularized animal cornea form tight junctions and allow light transmittance, and B2M (-/-) CEC are hypoimmunogenic both in vitro and in vivo. TRANSLATIONAL RELEVANCE: B2M (-/-) hESC-CEC can be an unlimited and universal therapy for corneal repair in patients of any HLA type.",2018,Translational vision science & technology,10.1167/tvst.7.5.23,A3_epithelium_limbus;D3_full_thickness_multilayer,2,Include,,epithelium_limbus,High,"Corrected include: title/abstract indicates corneal tissue engineering, biomaterial/scaffold, engineered construct, decellularized matrix, cell sheet, stem-cell construct, or regeneration/reconstruction relevance.",Provisional core,Final core,,,,,
